,Device_type,Device_ID,Device_brand,Device_model,Manufacture_Date,Allocation_Date,device_in_use,water_damage,device_responsive,battery_health,Usage(hrs),Latency(ms)
55,Laptop,93849449,Apple,ProBook,2017-02-20,2021-06-07,Yes,No,Yes,Average,8.41,Average
56,Laptop,09007376,Dell,Vostro,2019-07-04,2021-02-13,No,No,No,Average,8.43,Average
57,Smart Phone,00248129,Nokia,C20 Plus,2020-08-23,2021-07-19,No,Yes,Yes,Good,17.81,Good
58,Smart Phone,95561707,Samsung,Galaxy A6,2016-03-15,2021-06-23,No,No,No,Poor,4.1,Poor
59,Smart Phone,88033242,Samsung,Galaxy A8s,2020-01-29,2021-04-03,No,Yes,No,Good,16.83,Good
60,Smart Phone,36484690,Oppo,Joy,2019-12-05,2021-02-12,No,Yes,No,Average,8.81,Average
61,Feature Phone,44216276,Nokia,5310,2019-06-20,2021-06-24,Yes,Yes,Yes,Good,13.61,Good
62,Smart Phone,40741802,Blackberry,Torch,2014-06-28,2021-02-01,No,No,No,Poor,1.7,Poor
63,Laptop,31039277,Apple,MacBook,2020-07-04,2021-03-11,Yes,No,Yes,Poor,1.75,Poor
64,Laptop,60581440,HP,Probook,2015-12-01,2021-04-19,No,Yes,No,Good,11.91,Good
65,Feature Phone,58348482,Samsung,215,2017-12-07,2021-06-02,No,Yes,No,Average,7.8,Average
66,Laptop,98482962,Lenovo,ThinkPad,2017-11-02,2021-01-25,No,No,No,Average,7.17,Average
67,Smart Phone,57057132,Oppo,Neo,2015-02-14,2021-02-08,No,Yes,No,Poor,3.66,Poor
68,Feature Phone,64025513,Samsung,225,2017-11-09,2021-03-07,No,Yes,No,Average,9.37,Average
69,Feature Phone,88206523,Samsung,6300,2019-07-07,2021-06-01,No,Yes,Yes,Average,8.95,Average
70,Smart Phone,10087985,Apple,Iphone 5S,2019-04-14,2021-04-11,No,Yes,Yes,Good,19.8,Good
71,Feature Phone,39893925,Samsung,215,2016-11-20,2021-04-18,No,Yes,No,Poor,4.94,Poor
72,Feature Phone,45863622,Nokia,8000,2016-02-22,2021-04-02,No,Yes,Yes,Good,17.76,Good
73,Laptop,30023918,Lenovo,ThinkPad,2014-09-30,2021-01-15,No,Yes,Yes,Good,19.37,Good
74,Smart Phone,65511787,Nokia,C20 Plus,2017-04-21,2021-05-31,No,No,No,Good,16.32,Good
75,Smart Phone,34637029,Blackberry,Keyone,2016-09-08,2021-07-28,No,Yes,No,Average,6.12,Average
76,Feature Phone,71312507,Samsung,215,2019-01-13,2021-03-25,No,Yes,No,Poor,4.25,Poor
77,Smart Phone,49303902,Apple,Iphone SE,2014-02-12,2021-01-21,No,No,Yes,Good,13.8,Good
78,Feature Phone,38092428,Nokia,225,2014-10-05,2021-02-09,No,No,No,Good,15.37,Good
79,Laptop,04501756,HP,Pavilion,2020-03-15,2021-02-15,No,No,No,Poor,3.64,Poor
80,Laptop,65817155,Apple,MacBook,2015-04-01,2021-05-16,No,Yes,No,Poor,3.71,Poor
81,Laptop,03345269,Dell,Vostro,2016-10-22,2021-01-16,No,Yes,Yes,Average,6.38,Average
82,Smart Phone,19979397,Nokia,G50,2018-09-21,2021-01-23,No,Yes,Yes,Good,14.44,Good
83,Smart Phone,77580078,Apple,Iphone 6S,2019-04-27,2021-02-18,No,Yes,No,Good,19.79,Good
84,Feature Phone,77986122,Samsung,225,2014-09-13,2021-04-19,No,No,Yes,Average,7.8,Average
85,Smart Phone,41003176,Apple,Iphone 8,2018-02-07,2021-07-17,No,No,No,Average,7.13,Average
86,Smart Phone,17153140,Blackberry,Curve,2020-04-17,2021-06-01,Yes,Yes,Yes,Good,16.45,Good
87,Laptop,98210091,Dell,Vostro,2018-04-18,2021-03-14,No,No,No,Average,9.92,Average
88,Smart Phone,24539487,Apple,Iphone 11,2015-06-01,2021-03-27,No,No,Yes,Good,12.41,Good
89,Laptop,61923577,HP,EliteBook,2015-06-26,2021-01-07,No,No,No,Poor,1.51,Poor
90,Smart Phone,14082078,Blackberry,Aurora,2017-10-22,2021-02-05,No,Yes,No,Average,8.77,Average
91,Laptop,36652556,HP,Pavilion,2019-06-21,2021-06-12,Yes,Yes,Yes,Good,12.27,Good
92,Feature Phone,89761106,Samsung,8000,2016-12-28,2021-01-21,No,No,No,Average,6.75,Average
93,Smart Phone,85656277,OnePlus,OnePlus 6,2015-05-09,2021-06-28,No,Yes,Yes,Poor,2.92,Poor
94,Laptop,41206690,Dell,Vostro,2017-07-05,2021-07-04,Yes,No,Yes,Good,16.45,Good
95,Feature Phone,92808096,Nokia,215,2017-09-30,2021-07-31,No,No,No,Average,7.13,Average
96,Laptop,16755130,Dell,Vostro,2019-08-07,2021-01-03,No,Yes,No,Poor,4.26,Poor
97,Laptop,66762256,HP,EliteBook,2015-08-26,2021-06-06,No,No,No,Poor,2.74,Poor
98,Laptop,85710887,Lenovo,ThinkPad,2017-03-21,2021-07-08,Yes,Yes,Yes,Good,15.97,Good
99,Feature Phone,46871770,Nokia,125,2015-01-05,2021-03-22,Yes,Yes,Yes,Poor,1.38,Poor
100,Smart Phone,22101426,OnePlus,OnePlus nord,2020-11-20,2021-06-24,No,No,No,Average,9.76,Average
101,Feature Phone,55029308,Nokia,125,2019-05-26,2021-03-03,No,No,No,Average,8.41,Average
102,Feature Phone,68576622,Samsung,5310,2016-08-18,2021-02-08,No,Yes,No,Poor,4.26,Poor
103,Feature Phone,33975382,Samsung,215,2015-01-21,2021-07-02,No,No,No,Good,13.12,Good
104,Feature Phone,56065091,Samsung,8000,2018-02-24,2021-05-02,Yes,Yes,Yes,Good,19.2,Good
105,Laptop,95336626,Lenovo,Ideapad,2017-09-17,2021-01-19,No,No,Yes,Poor,3.89,Poor
106,Feature Phone,48361415,Nokia,225,2015-08-06,2021-03-14,No,No,No,Good,18.9,Good
107,Smart Phone,00059978,Blackberry,Aurora,2015-11-02,2021-06-23,No,Yes,No,Poor,1.26,Poor
108,Smart Phone,92940079,Oppo,Joy,2015-01-20,2021-03-17,No,No,No,Average,8.59,Average
109,Smart Phone,12879106,Apple,Iphone 8,2020-05-29,2021-02-05,Yes,No,Yes,Poor,2.52,Poor
110,Smart Phone,67213627,Oppo,R1,2015-12-17,2021-02-13,No,Yes,Yes,Average,8.8,Average
111,Smart Phone,61655447,Samsung,Galaxy S9,2019-01-21,2021-06-05,No,Yes,No,Average,7.42,Average
112,Smart Phone,32412406,Oppo,R1,2014-07-07,2021-06-11,Yes,No,Yes,Good,11.14,Good
113,Smart Phone,65999356,Samsung,Galaxy A8s,2015-08-28,2021-01-17,No,Yes,Yes,Average,6.93,Average
114,Smart Phone,24826310,Apple,Iphone 13,2018-09-21,2021-04-02,No,Yes,No,Good,13.37,Good
115,Laptop,21985027,HP,Pavilion,2019-10-23,2021-07-04,No,Yes,No,Poor,4.8,Poor
116,Laptop,95145389,Apple,MacBook,2015-04-07,2021-06-26,No,Yes,No,Average,6.51,Average
117,Feature Phone,34646168,Samsung,5310,2015-07-09,2021-07-23,No,Yes,Yes,Average,8.18,Average
118,Laptop,08316424,Dell,Vostro,2015-03-23,2021-06-10,Yes,No,Yes,Good,13.55,Good
119,Laptop,18518672,Apple,ProBook,2015-03-03,2021-02-26,No,Yes,Yes,Good,16.75,Good
120,Laptop,05558513,Lenovo,Ideapad,2020-08-28,2021-01-13,No,Yes,No,Average,8.12,Average
121,Laptop,16450646,HP,Pavilion,2014-12-11,2021-05-23,Yes,Yes,Yes,Good,15.46,Good
122,Laptop,50351589,HP,Pavilion,2020-11-09,2021-07-08,No,Yes,No,Poor,3.97,Poor
123,Feature Phone,25117325,Samsung,5310,2018-10-18,2021-01-27,No,Yes,No,Average,6.31,Average
124,Smart Phone,59377627,Oppo,N1,2020-12-02,2021-02-28,No,Yes,Yes,Poor,3.13,Poor
125,Smart Phone,35059288,Nokia,T20,2017-04-10,2021-08-04,No,No,No,Poor,3.34,Poor
126,Laptop,71610139,HP,EliteBook,2019-02-07,2021-04-10,Yes,Yes,Yes,Poor,3.7,Poor
127,Smart Phone,95503752,OnePlus,OnePlus 9R,2014-04-27,2021-05-10,No,No,Yes,Poor,4.3,Poor
128,Feature Phone,72101353,Nokia,125,2016-08-08,2021-06-18,No,Yes,No,Poor,1.62,Poor
129,Laptop,07034626,Lenovo,ThinkPad,2020-02-03,2021-01-09,Yes,Yes,Yes,Good,11.17,Good
130,Feature Phone,12173365,Nokia,8000,2020-02-17,2021-06-17,No,No,Yes,Good,12.39,Good
131,Smart Phone,52953606,Samsung,Galaxy Note 9,2017-03-09,2021-01-23,No,No,No,Poor,3.14,Poor
132,Feature Phone,83975653,Samsung,8000,2016-02-01,2021-02-24,No,Yes,No,Average,7.92,Average
133,Smart Phone,49685886,Oppo,Joy,2014-01-08,2021-06-11,No,Yes,No,Poor,4.43,Poor
134,Smart Phone,13105761,Nokia,C20 Plus,2017-12-31,2021-06-12,No,No,No,Average,8.8,Average
135,Laptop,87616255,Dell,Vostro,2014-10-14,2021-03-04,Yes,No,Yes,Average,7.12,Average
136,Feature Phone,33824697,Samsung,225,2018-03-01,2021-04-02,No,No,No,Poor,1.34,Poor
137,Laptop,82535469,HP,EliteBook,2014-12-28,2021-07-03,No,Yes,Yes,Good,13.46,Good
138,Feature Phone,94573657,Nokia,6300,2017-10-21,2021-01-07,No,Yes,Yes,Average,6.72,Average
139,Laptop,37679347,Apple,ProBook,2016-12-28,2021-04-18,Yes,No,Yes,Poor,2.54,Poor
140,Laptop,92143982,Dell,Vostro,2014-11-29,2021-05-29,Yes,No,Yes,Average,8.27,Average
141,Laptop,71470351,Dell,Vostro,2017-04-10,2021-02-08,Yes,Yes,Yes,Poor,1.94,Poor
142,Laptop,67042722,Lenovo,ThinkPad,2020-01-30,2021-03-22,Yes,No,Yes,Good,18.78,Good
143,Laptop,37495893,HP,Probook,2015-10-19,2021-04-09,Yes,No,Yes,Poor,4.96,Poor
144,Laptop,18960259,Apple,ProBook,2019-09-23,2021-07-06,No,No,Yes,Poor,3.78,Poor
145,Laptop,83093708,Lenovo,Ideapad,2020-12-08,2021-04-10,Yes,Yes,Yes,Good,17.3,Good
146,Feature Phone,71774480,Nokia,125,2020-08-31,2021-04-11,No,No,No,Poor,1.98,Poor
147,Feature Phone,48098540,Nokia,225,2014-05-03,2021-05-27,Yes,Yes,Yes,Average,8.32,Average
148,Laptop,48856416,Apple,MacBook,2017-02-18,2021-02-15,No,No,Yes,Good,16.21,Good
149,Laptop,21954078,Dell,Inspiron,2019-07-31,2021-04-02,No,No,No,Good,19.1,Good
150,Feature Phone,92177727,Nokia,8000,2020-02-16,2021-06-13,No,Yes,Yes,Average,6.8,Average
151,Feature Phone,08251602,Samsung,8000,2020-07-16,2021-06-23,No,Yes,No,Good,17.42,Good
152,Smart Phone,79911078,OnePlus,OnePlus nord,2014-06-04,2021-05-20,No,Yes,Yes,Average,7.6,Average
153,Feature Phone,80401308,Samsung,8000,2014-06-01,2021-04-01,No,Yes,No,Good,17.17,Good
154,Smart Phone,81722525,Nokia,XR20,2019-09-02,2021-04-21,No,No,No,Good,12.83,Good
155,Laptop,23989269,Dell,Inspiron,2016-06-19,2021-01-07,No,Yes,No,Average,8.84,Average
156,Smart Phone,07792335,Oppo,Find 7,2019-08-22,2021-07-12,No,No,No,Good,13.66,Good
157,Laptop,13336769,Apple,MacBook,2019-05-11,2021-03-12,No,No,No,Good,16.23,Good
158,Feature Phone,00367936,Nokia,215,2015-09-27,2021-02-06,Yes,No,Yes,Poor,2.86,Poor
159,Smart Phone,86600781,Blackberry,Q5,2015-06-14,2021-03-16,Yes,No,Yes,Poor,3.41,Poor
160,Laptop,77182012,Lenovo,Ideapad,2014-01-24,2021-01-26,No,Yes,Yes,Good,14.7,Good
161,Smart Phone,36590230,Nokia,T20,2016-07-04,2021-06-13,No,No,No,Good,12.43,Good
162,Laptop,45249303,Lenovo,ThinkPad,2018-06-09,2021-07-30,No,No,No,Average,7.37,Average
163,Feature Phone,83978456,Samsung,8000,2017-03-07,2021-04-16,No,No,Yes,Good,15.65,Good
164,Feature Phone,60128041,Nokia,8000,2016-01-28,2021-01-07,No,No,No,Average,6.93,Average
165,Smart Phone,06904838,Samsung,Galaxy A6,2018-04-02,2021-08-03,Yes,Yes,Yes,Average,7.11,Average
166,Feature Phone,35036180,Nokia,5310,2020-10-12,2021-01-16,No,Yes,No,Average,8.39,Average
167,Smart Phone,91653734,OnePlus,OnePlus 7pro,2016-09-21,2021-07-18,Yes,Yes,Yes,Average,7.88,Average
168,Smart Phone,48263269,OnePlus,OnePlus nord,2019-05-04,2021-03-18,No,No,No,Good,18.0,Good
169,Smart Phone,16960404,Oppo,Neo,2019-04-21,2021-01-12,Yes,No,Yes,Poor,1.4,Poor
170,Laptop,92938373,Dell,Inspiron,2015-08-13,2021-02-21,Yes,No,Yes,Average,6.51,Average
171,Feature Phone,85865969,Samsung,8000,2020-04-23,2021-01-22,No,No,No,Average,7.47,Average
172,Feature Phone,61411388,Nokia,8000,2017-12-24,2021-05-12,Yes,No,Yes,Poor,1.5,Poor
173,Laptop,72046951,Dell,Inspiron,2018-03-22,2021-01-12,No,No,No,Poor,2.39,Poor
174,Feature Phone,77799562,Nokia,225,2019-03-18,2021-03-03,No,No,No,Poor,4.56,Poor
175,Feature Phone,61036796,Samsung,125,2019-07-31,2021-07-12,No,No,Yes,Poor,4.88,Poor
176,Feature Phone,31429764,Nokia,6300,2014-12-06,2021-05-26,No,No,No,Good,16.39,Good
177,Laptop,23743984,HP,EliteBook,2020-07-30,2021-03-25,Yes,Yes,Yes,Average,6.74,Average
178,Smart Phone,73533634,OnePlus,OnePlus 7,2017-02-20,2021-01-25,No,Yes,No,Good,11.95,Good
179,Feature Phone,28839569,Nokia,215,2020-08-24,2021-07-30,No,No,No,Good,11.17,Good
180,Feature Phone,53677754,Samsung,215,2020-09-17,2021-03-07,No,No,No,Good,15.52,Good
181,Feature Phone,98297702,Nokia,8000,2020-09-19,2021-05-11,Yes,Yes,Yes,Good,11.18,Good
182,Laptop,39303080,HP,Pavilion,2015-05-15,2021-02-13,No,No,No,Good,18.76,Good
183,Smart Phone,36522866,OnePlus,OnePlus nord,2018-06-20,2021-03-11,Yes,Yes,Yes,Poor,2.93,Poor
184,Laptop,97283072,Apple,MacBook,2017-01-07,2021-01-14,Yes,Yes,Yes,Poor,1.18,Poor
185,Smart Phone,88657288,OnePlus,OnePlus nord,2014-05-04,2021-07-16,Yes,Yes,Yes,Average,8.43,Average
186,Feature Phone,41597521,Nokia,225,2018-04-09,2021-01-03,Yes,No,Yes,Poor,2.73,Poor
187,Feature Phone,33994093,Samsung,125,2019-12-12,2021-07-21,No,Yes,No,Poor,2.71,Poor
188,Feature Phone,08464972,Nokia,5310,2016-02-12,2021-01-06,Yes,No,Yes,Good,19.41,Good
189,Laptop,96056424,Dell,Vostro,2018-04-18,2021-06-23,Yes,No,Yes,Average,7.45,Average
190,Feature Phone,20348830,Samsung,225,2015-07-12,2021-03-10,No,Yes,Yes,Poor,1.54,Poor
191,Smart Phone,80393993,Blackberry,Q5,2020-04-21,2021-06-13,No,No,No,Average,9.36,Average
192,Laptop,18406047,Dell,Inspiron,2015-05-19,2021-07-29,Yes,No,Yes,Poor,1.19,Poor
193,Laptop,80075509,Lenovo,Ideapad,2014-09-20,2021-03-28,No,No,No,Average,8.7,Average
194,Feature Phone,36849987,Samsung,5310,2018-08-06,2021-05-17,Yes,No,Yes,Poor,3.0,Poor
195,Laptop,83478253,Dell,Vostro,2016-09-08,2021-02-14,No,Yes,Yes,Average,9.13,Average
196,Laptop,76546624,Apple,MacBook,2014-03-14,2021-05-17,No,Yes,No,Average,9.37,Average
197,Laptop,10010617,Lenovo,ThinkPad,2015-01-24,2021-05-19,Yes,No,Yes,Good,11.84,Good
198,Smart Phone,32699098,Apple,Iphone 5S,2019-10-08,2021-01-24,Yes,No,Yes,Average,6.23,Average
199,Laptop,27929452,Lenovo,ThinkPad,2015-02-20,2021-04-15,No,No,Yes,Average,8.18,Average
200,Smart Phone,32486360,Apple,Iphone 7,2017-10-29,2021-08-09,Yes,Yes,Yes,Average,7.43,Average
201,Smart Phone,66897262,Nokia,X20,2015-09-03,2021-07-08,No,No,No,Poor,2.74,Poor
202,Feature Phone,38491535,Nokia,225,2019-09-28,2021-06-17,Yes,No,Yes,Average,9.21,Average
203,Smart Phone,51244415,OnePlus,OnePlus 7pro,2014-04-10,2021-04-03,Yes,Yes,Yes,Average,8.91,Average
204,Laptop,59672401,Lenovo,ThinkPad,2017-08-05,2021-01-16,Yes,No,Yes,Poor,3.36,Poor
205,Laptop,00192620,Dell,Vostro,2019-08-07,2021-01-29,No,Yes,Yes,Poor,3.55,Poor
206,Laptop,32582239,Lenovo,ThinkPad,2017-08-07,2021-03-01,Yes,No,Yes,Average,7.62,Average
207,Laptop,36384297,Lenovo,ThinkPad,2018-09-15,2021-02-10,No,Yes,No,Poor,4.15,Poor
208,Feature Phone,78971127,Samsung,125,2019-06-05,2021-06-27,No,No,No,Average,7.63,Average
209,Smart Phone,77060556,OnePlus,OnePlus 6T,2019-07-28,2021-05-03,No,Yes,Yes,Poor,1.1,Poor
210,Feature Phone,83372117,Samsung,215,2016-11-15,2021-04-22,No,Yes,No,Good,19.3,Good
211,Smart Phone,39155405,Oppo,R1,2020-05-10,2021-04-18,No,No,No,Poor,2.96,Poor
212,Laptop,44940904,Dell,Inspiron,2015-02-07,2021-05-27,No,No,No,Good,19.48,Good
213,Smart Phone,37155094,Oppo,A52,2016-10-20,2021-07-07,No,Yes,Yes,Good,12.13,Good
214,Laptop,40451176,Lenovo,Ideapad,2020-11-27,2021-01-05,No,Yes,No,Good,13.67,Good
215,Laptop,95536408,Apple,MacBook,2018-03-12,2021-03-11,No,Yes,No,Poor,3.65,Poor
216,Smart Phone,39567093,Apple,Iphone 6S,2017-03-02,2021-05-19,No,Yes,No,Average,8.31,Average
217,Laptop,53826022,Dell,Inspiron,2016-06-23,2021-04-09,Yes,Yes,Yes,Good,12.45,Good
218,Laptop,42579298,Apple,MacBook,2016-12-16,2021-05-16,No,No,No,Poor,2.66,Poor
219,Laptop,11818380,Apple,ProBook,2015-12-09,2021-04-06,No,Yes,No,Good,16.35,Good
220,Smart Phone,66323457,Samsung,Galaxy A8s,2014-12-06,2021-02-01,No,Yes,Yes,Good,13.56,Good
221,Smart Phone,16073234,Apple,Iphone 6,2020-11-29,2021-05-03,No,Yes,No,Average,9.13,Average
222,Smart Phone,06182304,Apple,Iphone 12,2017-04-11,2021-06-29,No,Yes,No,Poor,4.48,Poor
223,Smart Phone,71859361,Blackberry,Keyone,2016-03-28,2021-03-26,No,No,No,Poor,4.6,Poor
224,Laptop,22619426,HP,EliteBook,2015-04-19,2021-06-16,No,No,No,Poor,2.86,Poor
225,Feature Phone,18303490,Samsung,5310,2016-06-12,2021-01-11,No,No,No,Good,19.34,Good
226,Feature Phone,35589310,Nokia,225,2017-08-26,2021-06-22,No,No,Yes,Good,14.37,Good
227,Laptop,49718904,Lenovo,Ideapad,2017-12-12,2021-04-03,No,No,Yes,Poor,1.2,Poor
228,Laptop,69439063,Apple,ProBook,2020-01-02,2021-03-02,No,No,Yes,Good,16.79,Good
229,Laptop,79722780,Lenovo,Ideapad,2018-09-19,2021-04-14,Yes,Yes,Yes,Poor,3.7,Poor
230,Smart Phone,43152025,OnePlus,OnePlus 9R,2017-12-03,2021-06-07,No,No,No,Poor,3.13,Poor
231,Feature Phone,80933601,Samsung,225,2014-05-14,2021-03-07,No,Yes,Yes,Average,9.96,Average
232,Feature Phone,94066067,Nokia,6300,2014-10-29,2021-02-25,Yes,No,Yes,Average,6.38,Average
233,Laptop,85468030,Apple,MacBook,2017-11-15,2021-01-22,No,No,No,Good,14.37,Good
234,Laptop,44442859,HP,EliteBook,2019-03-19,2021-07-16,Yes,Yes,Yes,Poor,2.6,Poor
235,Laptop,25521795,HP,EliteBook,2018-01-19,2021-03-12,No,Yes,Yes,Poor,4.97,Poor
236,Laptop,08300768,Dell,Vostro,2020-02-06,2021-04-20,No,Yes,No,Good,13.68,Good
237,Smart Phone,41338513,Apple,Iphone 12,2017-07-17,2021-01-23,Yes,Yes,Yes,Poor,3.5,Poor
238,Smart Phone,87416510,Blackberry,Leap,2015-10-23,2021-03-12,No,Yes,Yes,Good,15.8,Good
239,Feature Phone,23558656,Nokia,125,2015-06-02,2021-06-25,No,Yes,Yes,Poor,3.89,Poor
240,Laptop,08679734,Dell,Vostro,2017-05-10,2021-01-20,No,No,No,Good,18.35,Good
241,Laptop,59907701,Apple,ProBook,2014-11-08,2021-05-15,No,Yes,No,Average,9.98,Average
242,Feature Phone,16541511,Samsung,5310,2015-06-29,2021-02-07,Yes,No,Yes,Average,9.5,Average
243,Laptop,55818261,HP,EliteBook,2014-09-20,2021-06-13,No,No,No,Good,19.34,Good
244,Smart Phone,71248691,OnePlus,OnePlus 7,2017-12-25,2021-02-27,Yes,No,Yes,Good,13.49,Good
245,Smart Phone,86929912,Samsung,Galaxy S9,2015-12-27,2021-03-13,No,Yes,No,Poor,2.14,Poor
246,Laptop,93853446,Apple,MacBook,2018-04-18,2021-07-12,Yes,No,Yes,Poor,3.58,Poor
247,Laptop,72915578,Dell,Vostro,2016-06-28,2021-02-11,No,No,No,Good,12.97,Good
248,Feature Phone,02537498,Nokia,8000,2016-05-23,2021-06-26,Yes,No,Yes,Good,17.77,Good
249,Smart Phone,65653708,OnePlus,OnePlus 9R,2018-01-08,2021-06-26,No,No,Yes,Average,7.75,Average
