,Device_type,Device_ID,Device_brand,Device_model,Manufacture_Date,Allocation_Date,Assessment_Date,Age(days),device_in_use,water_damage,device_responsive,battery_health,Usage(hrs),Latency(ms)
24,Feature Phone,45629457,Nokia,225,2016-03-06,2021-04-14,2022-01-15,2141,No,No,No,Good,18.53,Good
25,Feature Phone,64639581,Samsung,6300,2020-06-18,2021-07-24,2022-01-16,577,Yes,Yes,Yes,Good,15.78,Good
26,Feature Phone,41064023,Samsung,8000,2019-10-07,2021-06-22,2022-01-14,830,No,Yes,Yes,Average,6.3,Average
27,Feature Phone,21208263,Samsung,125,2018-04-19,2021-07-25,2022-02-21,1404,No,No,Yes,Poor,4.19,Poor
28,Feature Phone,99568870,Nokia,8000,2020-12-05,2021-02-14,2022-01-02,393,Yes,Yes,Yes,Average,9.85,Average
29,Feature Phone,77066770,Samsung,5310,2018-07-21,2021-07-17,2022-02-20,1310,No,No,No,Good,13.15,Good
30,Laptop,21160295,Dell,Inspiron,2015-01-30,2021-07-21,2022-01-29,2556,Yes,Yes,Yes,Average,6.3,Average
31,Feature Phone,15256485,Samsung,225,2017-09-28,2021-06-26,2022-02-01,1587,No,Yes,No,Average,8.77,Average
32,Laptop,17626064,Apple,ProBook,2019-02-04,2021-07-23,2022-01-21,1082,No,No,No,Good,12.37,Good
33,Laptop,33641966,Dell,Inspiron,2014-12-28,2021-05-17,2022-02-05,2596,No,No,Yes,Poor,3.32,Poor
34,Laptop,14076367,HP,Probook,2014-07-20,2021-08-05,2022-02-13,2765,Yes,Yes,Yes,Poor,2.34,Poor
35,Feature Phone,84707321,Samsung,125,2018-05-29,2021-03-27,2022-01-10,1322,No,No,No,Average,9.46,Average
36,Laptop,49199949,Dell,Vostro,2015-09-02,2021-07-23,2022-02-01,2344,No,Yes,Yes,Average,8.55,Average
37,Smart Phone,77527387,Oppo,N1,2014-08-20,2021-06-20,2022-02-04,2725,No,No,No,Average,9.71,Average
38,Smart Phone,76304156,Apple,Iphone 11,2016-05-12,2021-03-20,2022-02-14,2104,Yes,Yes,Yes,Average,6.88,Average
39,Smart Phone,58937754,Blackberry,Torch,2019-08-28,2021-07-01,2022-02-12,899,No,Yes,No,Good,18.59,Good
40,Smart Phone,49488760,Apple,Iphone 11,2020-07-30,2021-02-10,2022-01-02,521,No,No,No,Good,17.93,Good
41,Smart Phone,36205172,Blackberry,Leap,2014-12-11,2021-04-18,2022-01-14,2591,No,Yes,No,Poor,3.61,Poor
42,Laptop,34097519,HP,EliteBook,2018-11-13,2021-03-17,2022-01-15,1159,No,No,No,Poor,1.85,Poor
43,Laptop,27822418,Dell,Vostro,2020-01-20,2021-05-16,2022-01-03,714,No,Yes,No,Average,8.76,Average
44,Smart Phone,92815223,Oppo,Joy,2016-08-01,2021-04-26,2022-01-01,1979,No,No,Yes,Poor,3.26,Poor
45,Laptop,96676301,Dell,Inspiron,2016-02-25,2021-03-13,2022-01-29,2165,No,No,No,Average,10.87,Average
46,Feature Phone,90439551,Nokia,6300,2017-09-01,2021-07-11,2022-01-02,1584,Yes,No,Yes,Good,19.26,Good
47,Laptop,69371219,Apple,ProBook,2018-01-30,2021-08-02,2022-02-19,1481,No,No,Yes,Good,15.2,Good
48,Smart Phone,53426468,Apple,Iphone XS,2015-05-08,2021-01-28,2022-02-06,2466,No,No,No,Average,10.42,Average
49,Laptop,85136144,Apple,ProBook,2019-12-17,2021-02-11,2022-01-08,753,Yes,Yes,Yes,Average,10.9,Average
50,Laptop,37039714,HP,Probook,2016-09-05,2021-08-02,2022-02-21,1995,No,Yes,Yes,Poor,4.76,Poor
51,Laptop,53455840,Lenovo,Ideapad,2020-08-06,2021-03-01,2022-01-30,542,Yes,No,Yes,Poor,2.48,Poor
52,Smart Phone,04121022,Samsung,Galaxy Note 9,2014-07-02,2021-02-08,2022-02-11,2781,No,No,No,Average,10.9,Average
53,Feature Phone,49742756,Samsung,125,2014-08-02,2021-07-12,2022-01-19,2727,No,Yes,No,Average,8.87,Average
54,Smart Phone,57347837,Apple,Iphone 11,2015-03-26,2021-06-21,2022-02-06,2509,Yes,Yes,Yes,Good,12.69,Good
55,Smart Phone,87127768,Nokia,G50,2020-02-06,2021-03-09,2022-01-24,718,Yes,No,Yes,Good,19.7,Good
56,Laptop,09038516,Lenovo,Ideapad,2019-02-20,2021-04-27,2022-01-01,1046,No,Yes,No,Poor,4.37,Poor
57,Laptop,01076752,HP,Probook,2017-11-17,2021-04-09,2022-02-04,1540,No,Yes,Yes,Good,17.3,Good
58,Smart Phone,38803260,Nokia,X10,2014-05-16,2021-02-23,2022-01-13,2799,No,Yes,No,Average,9.2,Average
59,Feature Phone,38240676,Nokia,225,2020-03-06,2021-06-07,2022-01-31,696,Yes,Yes,Yes,Good,13.1,Good
60,Feature Phone,89614150,Samsung,6300,2017-12-19,2021-05-01,2022-01-31,1504,No,No,No,Poor,1.86,Poor
61,Laptop,67849956,Dell,Inspiron,2018-05-15,2021-07-19,2022-02-19,1376,Yes,Yes,Yes,Good,15.39,Good
62,Feature Phone,70079173,Samsung,225,2015-03-21,2021-05-01,2022-02-02,2510,No,No,Yes,Poor,3.63,Poor
63,Feature Phone,76160592,Nokia,8000,2015-10-22,2021-06-18,2022-01-24,2286,Yes,Yes,Yes,Average,8.22,Average
64,Feature Phone,89560259,Samsung,5310,2017-12-20,2021-05-07,2022-01-16,1488,No,No,Yes,Good,13.28,Good
65,Feature Phone,56057980,Nokia,215,2015-10-28,2021-02-15,2022-01-23,2279,No,No,Yes,Poor,4.74,Poor
66,Smart Phone,33107127,OnePlus,OnePlus 9R,2014-12-31,2021-05-30,2022-01-29,2586,No,No,No,Poor,1.26,Poor
67,Laptop,54681279,Lenovo,ThinkPad,2018-01-22,2021-04-09,2022-02-20,1490,No,No,No,Good,16.74,Good
68,Feature Phone,70343007,Samsung,215,2016-09-05,2021-04-13,2022-02-09,1983,No,No,Yes,Average,8.88,Average
69,Feature Phone,73751700,Nokia,5310,2019-07-02,2021-06-28,2022-01-06,919,No,Yes,No,Average,7.92,Average
70,Smart Phone,88620374,OnePlus,OnePlus 8,2016-09-13,2021-07-08,2022-01-11,1946,No,No,No,Good,16.3,Good
71,Laptop,37687519,Apple,ProBook,2015-12-04,2021-07-20,2022-02-16,2266,No,No,No,Average,6.2,Average
72,Feature Phone,64742861,Samsung,6300,2014-04-13,2021-01-05,2022-01-11,2830,No,Yes,Yes,Poor,3.25,Poor
73,Laptop,92342798,Lenovo,Ideapad,2020-02-14,2021-06-16,2022-02-19,736,No,Yes,No,Poor,2.1,Poor
74,Smart Phone,59087717,Apple,Iphone 8,2016-09-05,2021-04-18,2022-02-12,1986,Yes,Yes,Yes,Poor,4.64,Poor
75,Feature Phone,36623044,Samsung,5310,2019-08-04,2021-05-12,2022-01-13,893,No,No,No,Good,19.22,Good
76,Laptop,78674035,Apple,MacBook,2018-06-29,2021-01-19,2022-02-15,1327,Yes,No,Yes,Average,9.61,Average
77,Feature Phone,33045801,Samsung,215,2014-06-26,2021-07-09,2022-02-12,2788,No,Yes,Yes,Average,7.35,Average
78,Feature Phone,04049791,Samsung,125,2017-10-30,2021-05-17,2022-01-22,1545,Yes,No,Yes,Poor,3.59,Poor
79,Laptop,44388171,Lenovo,Ideapad,2017-10-18,2021-06-25,2022-02-17,1583,Yes,Yes,Yes,Good,13.71,Good
80,Laptop,02147161,Apple,ProBook,2019-06-27,2021-02-08,2022-02-06,955,No,No,Yes,Average,8.59,Average
81,Laptop,15937889,Apple,MacBook,2019-03-21,2021-06-17,2022-01-28,1044,Yes,Yes,Yes,Good,16.16,Good
82,Smart Phone,09071896,Samsung,Galaxy Note 9,2020-06-16,2021-06-05,2022-01-04,567,No,Yes,No,Good,18.23,Good
83,Feature Phone,05497416,Nokia,5310,2019-08-28,2021-03-17,2022-01-19,875,No,Yes,No,Good,15.95,Good
84,Laptop,79850599,Dell,Vostro,2015-10-14,2021-03-30,2022-01-07,2277,No,No,No,Poor,3.34,Poor
85,Laptop,61672673,Apple,ProBook,2014-11-29,2021-04-20,2022-02-07,2627,No,Yes,No,Poor,1.11,Poor
86,Feature Phone,86573900,Samsung,8000,2020-05-25,2021-06-22,2022-01-25,610,No,No,No,Average,9.45,Average
87,Feature Phone,66305873,Samsung,215,2015-12-09,2021-03-23,2022-02-12,2257,No,No,No,Average,10.49,Average
88,Smart Phone,61637375,Apple,Iphone 7,2014-05-18,2021-05-22,2022-02-21,2836,No,Yes,No,Poor,3.85,Poor
89,Laptop,66210351,Apple,ProBook,2016-12-11,2021-04-16,2022-02-09,1886,No,Yes,Yes,Poor,2.75,Poor
90,Feature Phone,89026724,Samsung,8000,2020-11-06,2021-06-13,2022-01-30,450,No,No,No,Average,8.65,Average
91,Feature Phone,00972505,Nokia,125,2018-04-30,2021-01-07,2022-01-11,1352,Yes,No,Yes,Good,18.64,Good
92,Laptop,67252756,HP,Probook,2014-06-30,2021-01-07,2022-02-01,2773,Yes,No,Yes,Good,13.16,Good
93,Smart Phone,54484139,Oppo,Joy,2019-09-19,2021-05-07,2022-02-18,883,No,No,No,Good,12.3,Good
94,Feature Phone,92315068,Nokia,8000,2016-06-13,2021-04-02,2022-01-11,2038,No,Yes,Yes,Poor,4.67,Poor
95,Laptop,84718778,Lenovo,Ideapad,2018-05-12,2021-07-18,2022-02-21,1381,No,No,No,Average,7.28,Average
96,Feature Phone,82835095,Samsung,6300,2015-01-07,2021-05-16,2022-02-03,2584,No,No,No,Good,16.2,Good
97,Smart Phone,91459695,Samsung,Galaxy S9,2016-03-27,2021-05-14,2022-02-09,2145,No,Yes,Yes,Good,12.91,Good
98,Smart Phone,07031786,Samsung,Galaxy A6,2014-04-29,2021-01-26,2022-02-13,2847,No,No,No,Poor,4.67,Poor
99,Laptop,74991792,Apple,MacBook,2017-01-07,2021-03-30,2022-02-14,1864,No,No,Yes,Average,9.6,Average
100,Laptop,62680196,Dell,Vostro,2020-05-04,2021-01-08,2022-02-17,654,Yes,No,Yes,Good,17.79,Good
101,Laptop,06285425,Dell,Vostro,2020-04-21,2021-08-04,2022-02-20,670,No,Yes,Yes,Poor,1.46,Poor
102,Feature Phone,78389458,Samsung,125,2018-09-04,2021-06-05,2022-02-18,1263,No,Yes,Yes,Poor,1.31,Poor
103,Smart Phone,61602472,Nokia,C20 Plus,2019-04-17,2021-06-26,2022-02-07,1027,No,No,Yes,Poor,2.2,Poor
104,Smart Phone,78595019,OnePlus,OnePlus 7T,2015-03-30,2021-04-09,2022-01-14,2482,Yes,No,Yes,Poor,1.15,Poor
105,Smart Phone,40947136,Nokia,G300,2017-01-13,2021-02-28,2022-01-05,1818,Yes,No,Yes,Good,15.4,Good
106,Feature Phone,88767024,Samsung,215,2019-11-19,2021-06-22,2022-01-13,786,No,Yes,No,Good,17.62,Good
107,Feature Phone,96560013,Samsung,8000,2015-11-04,2021-05-12,2022-02-08,2288,No,No,No,Poor,4.75,Poor
108,Laptop,32150759,Apple,MacBook,2014-09-14,2021-03-30,2022-01-09,2674,No,No,No,Poor,4.6,Poor
109,Laptop,87978575,Dell,Vostro,2018-03-10,2021-07-23,2022-01-01,1393,Yes,No,Yes,Good,16.38,Good
110,Laptop,13843083,Apple,ProBook,2016-02-02,2021-02-17,2022-01-16,2175,No,No,Yes,Good,17.58,Good
111,Laptop,49957181,Lenovo,ThinkPad,2018-06-23,2021-05-24,2022-01-21,1308,No,Yes,Yes,Average,9.79,Average
112,Laptop,59251927,HP,Pavilion,2016-05-30,2021-05-19,2022-02-21,2093,No,Yes,No,Good,14.27,Good
113,Laptop,40180151,HP,EliteBook,2017-04-29,2021-07-04,2022-02-07,1745,No,Yes,No,Poor,4.52,Poor
114,Laptop,23842915,Dell,Inspiron,2019-10-08,2021-02-11,2022-02-16,862,No,No,Yes,Average,10.85,Average
115,Feature Phone,99223199,Samsung,8000,2019-11-14,2021-06-12,2022-01-03,781,No,Yes,Yes,Poor,2.52,Poor
116,Laptop,35513858,Apple,MacBook,2014-02-04,2021-05-23,2022-01-21,2908,No,Yes,No,Poor,2.57,Poor
117,Feature Phone,14352928,Samsung,215,2019-09-25,2021-01-19,2022-01-10,838,Yes,Yes,Yes,Good,14.68,Good
118,Smart Phone,13285678,Samsung,Galaxy S9,2017-11-24,2021-07-21,2022-02-12,1541,No,No,Yes,Average,7.76,Average
119,Laptop,59360681,Apple,ProBook,2016-04-02,2021-01-13,2022-01-20,2119,Yes,No,Yes,Average,9.6,Average
120,Laptop,69407482,Apple,ProBook,2018-10-04,2021-02-22,2022-02-07,1222,No,Yes,No,Poor,3.77,Poor
121,Smart Phone,58061404,Oppo,Neo,2020-11-19,2021-02-03,2022-02-12,450,Yes,Yes,Yes,Good,14.25,Good
122,Feature Phone,43030934,Samsung,8000,2015-02-03,2021-01-29,2022-02-12,2566,No,No,No,Poor,2.78,Poor
123,Feature Phone,80113782,Samsung,6300,2018-07-20,2021-05-15,2022-02-20,1311,Yes,No,Yes,Average,7.39,Average
124,Laptop,07392245,Apple,MacBook,2020-10-29,2021-02-26,2022-02-18,477,No,No,No,Average,8.23,Average
125,Feature Phone,18598339,Nokia,8000,2018-03-27,2021-02-16,2022-02-08,1414,No,No,Yes,Good,16.77,Good
126,Laptop,48038713,Apple,ProBook,2016-10-24,2021-02-11,2022-02-05,1930,No,No,No,Good,17.75,Good
127,Feature Phone,60612939,Nokia,6300,2014-09-22,2021-04-14,2022-01-05,2662,No,Yes,No,Good,13.3,Good
128,Feature Phone,26743042,Nokia,225,2020-05-08,2021-03-22,2022-01-17,619,No,Yes,Yes,Poor,3.82,Poor
129,Smart Phone,76770326,Apple,Iphone X,2020-08-27,2021-03-10,2022-01-21,512,No,No,No,Average,7.28,Average
130,Laptop,39878878,Lenovo,Ideapad,2020-01-06,2021-04-06,2022-01-16,741,Yes,No,Yes,Poor,2.41,Poor
131,Feature Phone,00694902,Nokia,225,2016-07-05,2021-02-01,2022-01-25,2030,No,No,No,Poor,2.91,Poor
132,Feature Phone,93134101,Samsung,8000,2015-07-15,2021-04-21,2022-01-14,2375,Yes,Yes,Yes,Average,6.42,Average
133,Feature Phone,34942765,Nokia,225,2018-06-23,2021-01-31,2022-01-24,1311,Yes,No,Yes,Poor,4.16,Poor
134,Smart Phone,73980773,OnePlus,OnePlus 7,2017-01-31,2021-03-05,2022-01-11,1806,No,No,Yes,Average,10.11,Average
135,Feature Phone,32280609,Samsung,8000,2019-07-12,2021-02-05,2022-01-16,919,No,Yes,No,Poor,2.2,Poor
136,Feature Phone,26971919,Nokia,125,2020-03-11,2021-06-07,2022-01-28,688,No,Yes,Yes,Poor,3.9,Poor
137,Smart Phone,23478527,Apple,Iphone 8,2016-03-02,2021-05-31,2022-01-15,2145,No,No,Yes,Good,14.43,Good
138,Laptop,87818871,Dell,Vostro,2019-10-20,2021-03-05,2022-01-06,809,Yes,Yes,Yes,Good,19.62,Good
139,Smart Phone,73065555,OnePlus,OnePlus 6T,2020-07-28,2021-05-09,2022-02-10,562,No,No,No,Average,9.6,Average
140,Smart Phone,85740938,Oppo,Neo,2014-10-20,2021-01-13,2022-01-03,2632,Yes,Yes,Yes,Poor,1.55,Poor
141,Feature Phone,75430146,Nokia,125,2016-03-08,2021-02-20,2022-01-12,2136,No,No,No,Good,15.33,Good
142,Laptop,20171346,Dell,Inspiron,2015-09-24,2021-02-12,2022-01-05,2295,No,No,No,Good,19.17,Good
143,Feature Phone,22300072,Nokia,225,2014-12-22,2021-04-22,2022-01-06,2572,No,Yes,No,Poor,4.26,Poor
144,Laptop,90341007,Apple,MacBook,2016-07-12,2021-02-01,2022-01-30,2028,No,Yes,Yes,Poor,3.89,Poor
145,Smart Phone,14856259,OnePlus,OnePlus 7T,2020-01-04,2021-07-25,2022-01-20,747,Yes,Yes,Yes,Good,12.72,Good
146,Laptop,59787365,Dell,Inspiron,2014-09-10,2021-05-15,2022-02-17,2717,Yes,Yes,Yes,Poor,3.77,Poor
147,Feature Phone,57842301,Nokia,8000,2016-09-23,2021-08-04,2022-01-25,1950,Yes,No,Yes,Average,6.78,Average
148,Smart Phone,90823770,Blackberry,Q5,2018-05-25,2021-07-26,2022-01-01,1317,No,Yes,No,Average,9.45,Average
149,Feature Phone,19895239,Nokia,8000,2019-01-29,2021-06-09,2022-01-14,1081,No,No,No,Average,6.73,Average
150,Feature Phone,63694185,Nokia,125,2016-06-21,2021-01-28,2022-01-13,2032,No,No,Yes,Poor,2.7,Poor
151,Smart Phone,32588095,OnePlus,OnePlus 7T,2017-10-24,2021-03-09,2022-01-04,1533,No,No,No,Poor,1.71,Poor
152,Laptop,88449289,Lenovo,ThinkPad,2020-04-10,2021-02-01,2022-01-09,639,No,No,No,Poor,4.12,Poor
153,Feature Phone,29053148,Nokia,215,2019-05-12,2021-01-27,2022-01-14,978,Yes,No,Yes,Average,8.31,Average
154,Laptop,36880980,Lenovo,Ideapad,2014-01-25,2021-06-17,2022-01-02,2899,Yes,No,Yes,Average,9.72,Average
155,Smart Phone,82337551,Samsung,Galaxy J7 duo,2014-10-12,2021-05-17,2022-01-29,2666,No,Yes,No,Poor,1.27,Poor
156,Smart Phone,87728002,Nokia,X100,2016-09-11,2021-04-23,2022-02-16,1984,No,No,Yes,Good,19.52,Good
157,Smart Phone,73113751,Nokia,G50,2014-09-04,2021-02-18,2022-02-08,2714,No,No,Yes,Average,6.6,Average
158,Smart Phone,98470907,Blackberry,Leap,2017-07-20,2021-02-28,2022-01-24,1649,No,Yes,No,Good,12.76,Good
159,Smart Phone,08064738,Samsung,Galaxy S9,2017-09-09,2021-08-09,2022-01-21,1595,No,No,No,Poor,2.57,Poor
160,Feature Phone,03273197,Nokia,6300,2020-05-06,2021-06-23,2022-01-08,612,Yes,No,Yes,Average,8.59,Average
161,Smart Phone,26426716,Samsung,Galaxy Note 9,2020-06-29,2021-06-12,2022-01-23,573,No,Yes,No,Average,9.31,Average
162,Laptop,63302943,Dell,Vostro,2019-07-11,2021-02-09,2022-01-09,913,No,No,No,Good,18.5,Good
163,Laptop,42496625,Apple,ProBook,2019-11-30,2021-03-10,2022-01-02,764,Yes,No,Yes,Average,8.69,Average
164,Laptop,06547486,Dell,Vostro,2017-04-15,2021-07-08,2022-02-10,1762,No,Yes,Yes,Good,14.41,Good
165,Feature Phone,57352367,Samsung,215,2016-09-12,2021-05-28,2022-01-19,1955,Yes,Yes,Yes,Poor,4.71,Poor
166,Feature Phone,14612824,Samsung,6300,2018-09-25,2021-06-01,2022-01-16,1209,No,Yes,Yes,Good,15.92,Good
167,Feature Phone,19328485,Nokia,5310,2018-09-28,2021-03-14,2022-01-22,1212,No,No,Yes,Good,14.2,Good
168,Laptop,33312385,Dell,Vostro,2020-04-10,2021-06-12,2022-01-02,632,Yes,No,Yes,Good,13.27,Good
169,Feature Phone,95484754,Samsung,6300,2017-12-16,2021-07-22,2022-01-08,1484,No,No,Yes,Average,6.6,Average
170,Smart Phone,31667180,OnePlus,OnePlus 6,2017-08-22,2021-03-10,2022-01-31,1623,No,Yes,Yes,Good,12.85,Good
171,Smart Phone,35853794,Oppo,Joy,2017-09-17,2021-02-16,2022-01-25,1591,No,Yes,No,Good,13.3,Good
172,Smart Phone,85120631,Blackberry,Torch,2015-07-26,2021-07-20,2022-02-20,2401,No,Yes,No,Poor,1.92,Poor
173,Feature Phone,62590327,Samsung,6300,2020-05-25,2021-07-10,2022-01-12,597,No,Yes,No,Average,7.31,Average
174,Feature Phone,91718747,Nokia,125,2017-04-27,2021-05-17,2022-01-20,1729,Yes,No,Yes,Poor,1.25,Poor
175,Smart Phone,50702169,Nokia,X10,2020-12-02,2021-04-20,2022-02-08,433,No,Yes,Yes,Poor,4.56,Poor
176,Laptop,07868986,HP,Pavilion,2016-04-28,2021-03-08,2022-02-02,2106,No,No,Yes,Poor,1.88,Poor
177,Laptop,77765246,Apple,ProBook,2018-05-24,2021-04-10,2022-02-12,1360,No,No,No,Average,7.27,Average
178,Feature Phone,93583954,Samsung,225,2015-12-04,2021-05-16,2022-02-07,2257,No,No,No,Good,15.79,Good
179,Smart Phone,71249445,Apple,Iphone 6S,2014-09-18,2021-06-25,2022-02-12,2704,No,No,Yes,Average,8.42,Average
180,Feature Phone,02597829,Samsung,225,2018-04-12,2021-05-12,2022-02-01,1391,No,No,No,Average,10.18,Average
181,Feature Phone,47296343,Samsung,215,2020-08-28,2021-02-04,2022-01-10,500,No,No,No,Good,16.29,Good
182,Laptop,64370606,Apple,MacBook,2020-12-15,2021-02-27,2022-02-19,431,No,Yes,No,Good,15.56,Good
183,Smart Phone,99560249,OnePlus,OnePlus 6T,2020-02-07,2021-01-21,2022-01-11,704,No,Yes,No,Good,13.4,Good
184,Laptop,34602072,Dell,Inspiron,2016-04-03,2021-07-28,2022-02-06,2135,Yes,Yes,Yes,Poor,4.41,Poor
185,Laptop,51026943,Lenovo,Ideapad,2020-09-15,2021-06-24,2022-02-01,504,No,Yes,No,Poor,2.14,Poor
186,Feature Phone,32291209,Nokia,8000,2014-06-08,2021-04-06,2022-01-16,2779,Yes,No,Yes,Good,18.86,Good
187,Smart Phone,77954008,Apple,Iphone XS,2016-07-11,2021-07-25,2022-01-23,2022,No,No,No,Poor,2.98,Poor
188,Laptop,35103271,HP,EliteBook,2015-10-14,2021-04-25,2022-02-06,2307,No,No,No,Average,9.6,Average
189,Feature Phone,03881675,Nokia,125,2018-03-24,2021-03-27,2022-01-14,1392,No,No,No,Average,9.68,Average
190,Laptop,31498944,Dell,Vostro,2015-07-21,2021-04-10,2022-01-22,2377,Yes,Yes,Yes,Average,7.61,Average
191,Laptop,57149882,HP,EliteBook,2018-09-16,2021-02-21,2022-01-02,1204,No,Yes,No,Poor,4.44,Poor
192,Feature Phone,79537209,Nokia,6300,2019-02-24,2021-01-19,2022-02-09,1081,Yes,Yes,Yes,Average,6.55,Average
193,Laptop,42011217,Dell,Inspiron,2016-01-19,2021-06-27,2022-02-18,2222,No,Yes,No,Average,9.4,Average
194,Feature Phone,96230091,Samsung,225,2015-05-22,2021-02-19,2022-01-12,2427,No,Yes,No,Poor,3.67,Poor
195,Feature Phone,60058898,Samsung,8000,2019-09-16,2021-05-21,2022-01-17,854,No,No,No,Average,9.31,Average
196,Laptop,11156574,Apple,MacBook,2020-02-22,2021-02-15,2022-02-03,712,No,No,No,Average,7.69,Average
197,Feature Phone,68657376,Samsung,5310,2017-01-19,2021-03-10,2022-02-16,1854,No,No,No,Good,12.87,Good
198,Feature Phone,24901017,Nokia,225,2020-10-23,2021-07-14,2022-01-03,437,No,No,No,Poor,4.36,Poor
199,Feature Phone,10123072,Nokia,225,2017-07-22,2021-02-10,2022-02-03,1657,No,No,No,Poor,3.35,Poor
200,Laptop,86699877,Dell,Inspiron,2016-11-08,2021-06-01,2022-01-14,1893,Yes,No,Yes,Poor,1.57,Poor
201,Laptop,53249302,Lenovo,ThinkPad,2016-02-04,2021-05-21,2022-02-11,2199,No,No,Yes,Average,6.45,Average
202,Smart Phone,47162631,Nokia,G300,2017-11-10,2021-07-24,2022-01-01,1513,No,No,Yes,Good,15.8,Good
203,Smart Phone,70996470,Samsung,Galaxy J7 duo,2018-03-29,2021-05-23,2022-02-17,1421,Yes,Yes,Yes,Good,13.87,Good
204,Laptop,57095844,HP,Probook,2017-07-27,2021-01-02,2022-01-03,1621,No,No,No,Average,9.19,Average
205,Feature Phone,40030753,Nokia,215,2016-08-24,2021-05-05,2022-01-04,1959,No,No,Yes,Poor,1.8,Poor
206,Laptop,27610657,Dell,Vostro,2015-09-06,2021-05-25,2022-01-24,2332,No,No,Yes,Good,17.59,Good
207,Smart Phone,02007304,Oppo,Find 7,2016-10-06,2021-03-25,2022-01-21,1933,No,No,Yes,Poor,3.2,Poor
208,Smart Phone,93942218,OnePlus,OnePlus 6,2018-12-05,2021-07-29,2022-01-31,1153,No,Yes,No,Average,8.44,Average
209,Smart Phone,61381636,Blackberry,Leap,2016-11-09,2021-07-12,2022-01-14,1892,No,No,No,Average,9.27,Average
210,Smart Phone,25661576,Blackberry,Torch,2020-01-05,2021-04-22,2022-02-20,777,No,No,No,Poor,4.33,Poor
211,Feature Phone,27656808,Samsung,215,2017-06-15,2021-01-20,2022-01-01,1661,No,Yes,No,Poor,4.46,Poor
212,Smart Phone,76128813,Apple,Iphone 5S,2018-12-16,2021-07-28,2022-02-09,1151,Yes,Yes,Yes,Average,8.57,Average
