,Device_type,Device_ID,Device_brand,Device_model,Manufacture_Date,Allocation_Date,device_in_use,water_damage,device_responsive,battery_health,Usage(hrs),Latency(ms)
31,Smart Phone,48588416,Lenovo,ThinkPad,15-04-2019,14-03-2021,Yes,No,Yes,Good,34.1,Average
32,Laptop,96608487,Apple,EliteBook,06-12-2020,14-04-2021,No,Yes,No,Average,32.2,Poor
33,Laptop,49083095,Apple,ProBook,08-12-2018,30-06-2021,No,No,Yes,Average,38.84,Average
34,Laptop,94282252,Lenovo,MacBook,06-08-2018,06-02-2021,No,Yes,Yes,Good,18.29,Good
35,Feature Phone,8194084,Lenovo,Inspiron,04-04-2018,02-02-2021,Yes,No,Yes,Good,15.57,Average
36,Smart Phone,35232568,Dell,Inspiron,22-01-2015,28-03-2021,No,No,No,Poor,22.64,Poor
37,Feature Phone,21009662,HP,ThinkPad,28-11-2018,09-08-2021,Yes,Yes,No,Poor,19.84,Average
38,Smart Phone,75791469,Lenovo,MacBook,01-04-2017,26-05-2021,No,Yes,No,Poor,28.11,Good
39,Feature Phone,45644481,Apple,ThinkPad,22-08-2017,06-07-2021,No,Yes,No,Good,15.94,Average
40,Feature Phone,93475853,Apple,MacBook,22-04-2017,28-04-2021,No,Yes,No,Poor,34.8,Average
41,Laptop,41442920,Lenovo,Inspiron,06-02-2019,06-06-2021,No,Yes,Yes,Average,13.54,Average
42,Laptop,40113128,HP,ProBook,13-12-2015,25-06-2021,Yes,Yes,Yes,Average,38,Poor
43,Laptop,66590804,Apple,Vostro,12-06-2020,13-01-2021,Yes,Yes,No,Poor,11.48,Poor
44,Smart Phone,57252735,HP,EliteBook,06-03-2016,03-01-2021,Yes,No,Yes,Poor,3.57,Average
45,Smart Phone,97248255,Dell,Inspiron,20-01-2014,26-06-2021,Yes,No,Yes,Good,29.66,Good
46,Feature Phone,71240060,Lenovo,Inspiron,03-02-2016,26-01-2021,Yes,No,Yes,Poor,33.5,Poor
47,Feature Phone,25846706,Lenovo,ThinkPad,25-01-2014,13-03-2021,No,Yes,No,Poor,12.17,Poor
48,Smart Phone,96712153,Apple,EliteBook,13-01-2015,28-06-2021,No,Yes,Yes,Poor,13.34,Average
49,Feature Phone,99931094,Apple,Inspiron,04-09-2018,18-04-2021,No,No,Yes,Average,25.84,Poor
50,Laptop,12044504,Dell,ThinkPad,23-09-2018,07-06-2021,No,No,No,Poor,33.46,Poor
51,Feature Phone,72423325,HP,EliteBook,28-07-2020,01-06-2021,No,No,No,Good,29.63,Good
52,Smart Phone,49230949,HP,MacBook,24-06-2019,25-02-2021,No,Yes,Yes,Good,20.96,Poor
53,Feature Phone,95850092,Dell,ThinkPad,26-05-2015,05-05-2021,No,Yes,No,Poor,6.85,Poor
54,Feature Phone,85857063,Dell,ThinkPad,05-05-2014,25-05-2021,Yes,No,No,Poor,6.29,Average
55,Laptop,62368803,Lenovo,Vostro,11-10-2014,29-07-2021,Yes,No,No,Poor,25.71,Average
56,Laptop,95154992,Lenovo,Inspiron,04-02-2019,02-06-2021,Yes,No,No,Poor,13.36,Poor
57,Smart Phone,22444219,HP,MacBook,31-05-2018,30-01-2021,Yes,Yes,No,Poor,4.97,Average
58,Smart Phone,94716573,Lenovo,ThinkPad,11-08-2016,17-05-2021,Yes,Yes,No,Average,10.92,Average
59,Smart Phone,80801221,Apple,Vostro,28-11-2019,08-05-2021,Yes,No,No,Good,2.64,Good
60,Smart Phone,90033094,Lenovo,ThinkPad,23-07-2019,28-06-2021,Yes,No,No,Good,28.7,Poor
61,Smart Phone,46743275,Apple,MacBook,11-05-2020,16-07-2021,Yes,No,No,Average,31.31,Poor
62,Smart Phone,60329875,Lenovo,ProBook,16-05-2016,26-07-2021,Yes,No,No,Poor,9.65,Good
63,Feature Phone,8171726,HP,ProBook,17-01-2014,26-02-2021,No,Yes,No,Poor,31.1,Poor
64,Laptop,83032844,Lenovo,Vostro,14-07-2018,16-01-2021,Yes,No,No,Average,15.74,Good
65,Laptop,35862734,Dell,Vostro,10-06-2018,31-05-2021,Yes,No,No,Poor,7.68,Average
66,Smart Phone,8934741,Lenovo,ProBook,23-06-2016,02-08-2021,No,Yes,Yes,Good,1.6,Poor
67,Laptop,41447574,Dell,MacBook,18-07-2019,26-05-2021,Yes,Yes,Yes,Poor,13.33,Good
68,Smart Phone,24243919,Lenovo,MacBook,16-11-2014,31-07-2021,Yes,Yes,Yes,Poor,1.59,Poor
69,Feature Phone,34533734,HP,MacBook,30-10-2018,18-05-2021,Yes,No,Yes,Poor,1.65,Poor
70,Feature Phone,80792819,Apple,EliteBook,03-08-2014,20-01-2021,No,Yes,No,Good,23.94,Average
71,Feature Phone,44932268,Apple,Vostro,30-04-2018,02-07-2021,Yes,No,No,Average,39.9,Good
72,Smart Phone,97629450,Dell,MacBook,03-10-2016,12-04-2021,Yes,Yes,No,Poor,8.51,Poor
73,Smart Phone,36243235,Apple,ProBook,07-10-2016,06-08-2021,No,Yes,Yes,Average,37.92,Average
74,Laptop,8807267,Apple,EliteBook,17-12-2017,03-03-2021,Yes,Yes,Yes,Good,34.62,Poor
75,Smart Phone,11482581,Apple,EliteBook,26-08-2015,14-04-2021,Yes,No,No,Average,18.43,Average
76,Smart Phone,21967023,Dell,ThinkPad,18-01-2016,05-04-2021,Yes,No,No,Good,31.36,Good
77,Laptop,72534328,HP,ProBook,14-03-2015,16-01-2021,No,Yes,No,Poor,7.3,Average
78,Smart Phone,21977299,Lenovo,Vostro,02-10-2019,14-02-2021,No,Yes,Yes,Poor,34.24,Good
79,Smart Phone,38737381,Dell,Vostro,01-05-2019,22-04-2021,Yes,Yes,Yes,Poor,2.22,Good
80,Smart Phone,99579227,Apple,EliteBook,13-06-2020,28-04-2021,No,No,No,Good,4.44,Good
81,Smart Phone,10676424,Lenovo,Vostro,04-04-2020,16-06-2021,No,Yes,Yes,Good,17.86,Good
82,Smart Phone,51542658,Lenovo,MacBook,16-04-2016,24-07-2021,Yes,Yes,No,Poor,32.39,Average
83,Laptop,160766,HP,MacBook,18-02-2014,09-05-2021,Yes,No,Yes,Poor,8.86,Poor
84,Feature Phone,48491686,Apple,ThinkPad,07-03-2019,06-06-2021,Yes,No,No,Good,34.21,Poor
85,Feature Phone,961288,HP,Inspiron,24-04-2020,18-06-2021,Yes,No,Yes,Poor,12.18,Poor
86,Feature Phone,57201078,HP,Inspiron,07-12-2016,07-03-2021,No,No,Yes,Poor,17.29,Good
87,Laptop,3854921,Dell,Inspiron,01-04-2020,06-06-2021,No,Yes,No,Poor,9.37,Poor
88,Smart Phone,46478122,Dell,Inspiron,26-12-2016,23-01-2021,Yes,No,No,Poor,6.43,Good
89,Laptop,41129791,Apple,ProBook,29-10-2018,19-07-2021,No,No,Yes,Good,17.62,Good
90,Feature Phone,43470372,Apple,ProBook,03-06-2015,02-05-2021,No,Yes,Yes,Poor,35.14,Average
91,Smart Phone,46949479,Dell,EliteBook,30-12-2020,07-02-2021,Yes,Yes,No,Good,19.17,Poor
92,Smart Phone,54091870,Dell,Vostro,25-04-2017,09-03-2021,Yes,Yes,Yes,Good,39.55,Average
93,Feature Phone,6913595,Apple,EliteBook,20-12-2018,20-02-2021,Yes,No,Yes,Good,14.6,Good
94,Laptop,84601353,Lenovo,ProBook,08-05-2018,06-04-2021,Yes,No,No,Good,27.76,Poor
95,Laptop,62488518,Dell,EliteBook,02-12-2016,10-01-2021,No,No,Yes,Good,10.98,Poor
96,Feature Phone,65292976,Lenovo,EliteBook,02-06-2018,16-07-2021,No,No,Yes,Poor,2.12,Average
97,Smart Phone,97712398,Lenovo,Vostro,11-06-2017,25-05-2021,No,Yes,Yes,Average,19.8,Poor
98,Laptop,15222664,Lenovo,ProBook,23-08-2014,18-06-2021,No,Yes,Yes,Good,36.57,Average
99,Feature Phone,33380469,Apple,ProBook,12-07-2020,09-07-2021,Yes,No,Yes,Good,38.88,Average
100,Smart Phone,45019470,Apple,ThinkPad,10-09-2020,27-07-2021,Yes,Yes,No,Good,20.74,Good
101,Smart Phone,42057703,Lenovo,Inspiron,18-08-2014,01-06-2021,No,Yes,Yes,Average,29.83,Average
102,Laptop,50453481,Apple,ThinkPad,15-01-2014,22-07-2021,Yes,No,Yes,Poor,20.54,Poor
103,Smart Phone,80466215,Dell,EliteBook,10-06-2017,30-03-2021,No,Yes,Yes,Poor,26.54,Average
104,Smart Phone,21700873,Apple,Inspiron,01-09-2019,07-07-2021,No,Yes,Yes,Good,13.6,Poor
105,Feature Phone,65562475,HP,ThinkPad,23-03-2014,21-07-2021,Yes,No,Yes,Good,24.51,Poor
106,Smart Phone,39120328,HP,Vostro,14-02-2015,08-03-2021,Yes,Yes,No,Average,8.57,Poor
107,Laptop,21932595,Lenovo,Inspiron,18-09-2015,15-04-2021,Yes,Yes,Yes,Poor,12.32,Poor
108,Laptop,22659361,Apple,Vostro,19-09-2014,30-06-2021,Yes,Yes,No,Average,6.68,Average
109,Laptop,38415531,Apple,ProBook,31-07-2014,28-01-2021,No,No,Yes,Poor,22.9,Poor
110,Smart Phone,82759315,Lenovo,EliteBook,30-10-2020,03-03-2021,No,Yes,Yes,Poor,24.52,Poor
111,Laptop,23860445,Apple,Vostro,06-04-2014,07-01-2021,No,No,Yes,Poor,11.31,Average
112,Smart Phone,6526535,Apple,Vostro,09-05-2016,08-05-2021,No,Yes,Yes,Average,34.39,Average
113,Feature Phone,85310797,Lenovo,ProBook,12-09-2017,30-04-2021,No,Yes,Yes,Average,4.77,Average
114,Laptop,2090559,Apple,MacBook,04-03-2015,20-01-2021,No,Yes,No,Average,5.47,Poor
115,Laptop,53264459,Lenovo,Inspiron,21-09-2014,17-01-2021,Yes,No,No,Poor,11.15,Good
116,Feature Phone,66141402,HP,EliteBook,06-12-2015,06-07-2021,Yes,No,No,Average,2.1,Good
117,Smart Phone,23051294,Lenovo,ProBook,26-02-2014,28-02-2021,No,Yes,Yes,Poor,7,Good
118,Feature Phone,12076741,Lenovo,ThinkPad,30-09-2014,14-01-2021,No,Yes,Yes,Poor,26.6,Poor
119,Smart Phone,84821461,Apple,ThinkPad,09-05-2019,29-04-2021,No,Yes,No,Good,9.6,Average
120,Feature Phone,30526211,Apple,ThinkPad,01-05-2014,19-02-2021,No,Yes,No,Good,6.51,Poor
121,Laptop,99448882,Lenovo,Vostro,20-02-2020,21-04-2021,Yes,No,No,Average,21.54,Good
122,Smart Phone,94890150,Dell,EliteBook,28-01-2015,23-05-2021,Yes,No,No,Average,21.27,Average
123,Smart Phone,20054106,Lenovo,Inspiron,27-05-2017,08-01-2021,Yes,No,No,Poor,3.1,Good
124,Laptop,49697001,Dell,Vostro,11-02-2017,22-03-2021,No,No,No,Average,39.62,Poor
125,Feature Phone,25472752,HP,ThinkPad,12-02-2015,30-07-2021,Yes,Yes,No,Good,14.38,Good
126,Laptop,328920,Dell,Vostro,11-05-2015,23-04-2021,Yes,Yes,No,Good,11.99,Good
127,Smart Phone,35450931,Dell,ProBook,18-09-2015,15-05-2021,No,Yes,No,Average,18.2,Average
128,Smart Phone,24635820,Apple,ThinkPad,15-06-2017,06-06-2021,Yes,Yes,No,Poor,28.79,Good
129,Laptop,92795426,Lenovo,ThinkPad,18-03-2019,19-07-2021,Yes,No,No,Average,27.5,Poor
130,Feature Phone,60392824,HP,EliteBook,21-02-2019,19-03-2021,No,Yes,No,Average,21.57,Poor
131,Laptop,91208972,Lenovo,Vostro,04-04-2016,01-08-2021,Yes,Yes,Yes,Good,32.76,Average
132,Smart Phone,69569371,Apple,Inspiron,05-05-2018,16-05-2021,No,Yes,Yes,Good,16.48,Poor
133,Smart Phone,30577671,HP,ProBook,11-12-2014,10-03-2021,Yes,No,No,Good,39.18,Poor
134,Laptop,68201548,HP,MacBook,17-10-2016,27-02-2021,No,No,No,Average,22.62,Poor
135,Feature Phone,11003496,Dell,ProBook,27-10-2015,22-03-2021,Yes,No,Yes,Poor,25.27,Average
136,Smart Phone,50174126,Dell,ThinkPad,03-12-2015,03-08-2021,No,No,No,Poor,27.13,Good
137,Laptop,4826538,Lenovo,EliteBook,28-09-2018,08-08-2021,No,Yes,No,Poor,38.81,Average
138,Feature Phone,70101348,HP,ProBook,04-12-2016,13-04-2021,Yes,No,Yes,Poor,8.82,Poor
139,Feature Phone,3876091,Lenovo,ProBook,24-12-2017,10-04-2021,Yes,No,No,Average,2.23,Average
140,Feature Phone,61273160,Dell,MacBook,15-05-2018,05-05-2021,No,Yes,Yes,Good,20.3,Average
141,Laptop,71854168,Dell,Vostro,31-10-2015,28-03-2021,No,No,Yes,Poor,32.82,Good
142,Feature Phone,71469058,HP,Vostro,18-10-2016,25-02-2021,Yes,Yes,Yes,Poor,10.44,Average
143,Laptop,90314773,Lenovo,ProBook,22-01-2018,27-03-2021,No,Yes,No,Poor,27.55,Good
144,Feature Phone,47990333,Lenovo,ProBook,25-05-2015,30-01-2021,Yes,No,Yes,Poor,39.24,Average
145,Laptop,55272698,Apple,MacBook,22-11-2016,12-04-2021,Yes,Yes,No,Average,19.59,Average
146,Laptop,36556618,Lenovo,ProBook,24-06-2017,11-04-2021,No,Yes,No,Average,5.12,Average
147,Smart Phone,33803562,Dell,MacBook,07-06-2015,13-06-2021,Yes,Yes,Yes,Poor,25.65,Average
148,Feature Phone,9752047,HP,Inspiron,02-09-2019,12-07-2021,Yes,Yes,No,Good,30.76,Poor
149,Laptop,53619297,Apple,Inspiron,08-05-2020,01-05-2021,No,Yes,Yes,Good,37.49,Poor
150,Feature Phone,45232701,Lenovo,MacBook,02-11-2019,12-02-2021,Yes,Yes,Yes,Good,17.5,Poor
151,Laptop,54427365,Apple,ProBook,16-11-2018,06-01-2021,No,No,No,Good,24.56,Average
152,Laptop,50901463,Apple,MacBook,23-02-2019,22-01-2021,No,No,No,Good,23.54,Good
153,Smart Phone,49359992,Lenovo,MacBook,11-10-2019,09-04-2021,No,No,Yes,Poor,17.86,Good
154,Smart Phone,11251705,Dell,Inspiron,23-01-2019,03-05-2021,No,No,Yes,Good,23.87,Average
155,Feature Phone,44394486,Dell,MacBook,01-06-2014,28-01-2021,No,No,No,Good,25.58,Average
156,Smart Phone,20829438,Apple,ThinkPad,01-06-2018,30-06-2021,Yes,No,Yes,Poor,33.98,Poor
157,Feature Phone,50806232,Dell,Vostro,15-01-2017,13-05-2021,Yes,Yes,Yes,Good,2.1,Poor
158,Smart Phone,13881009,Dell,MacBook,13-03-2014,28-03-2021,No,Yes,Yes,Good,17.67,Good
159,Feature Phone,56063011,Lenovo,Vostro,27-06-2014,12-04-2021,No,Yes,No,Average,13.53,Average
160,Smart Phone,79515580,Dell,Vostro,13-02-2014,10-05-2021,Yes,No,No,Good,27.25,Good
161,Smart Phone,29370139,Apple,ProBook,07-01-2020,09-08-2021,No,No,Yes,Average,32.82,Poor
162,Feature Phone,4063858,HP,Vostro,18-01-2019,06-04-2021,No,Yes,No,Average,20.31,Average
163,Laptop,65075890,Lenovo,EliteBook,25-11-2015,06-08-2021,No,No,No,Good,26.3,Good
164,Laptop,1292534,Lenovo,Inspiron,06-03-2020,12-03-2021,No,No,Yes,Good,4.87,Good
165,Smart Phone,87433289,HP,Vostro,15-02-2017,22-03-2021,No,No,No,Good,4.65,Average
166,Laptop,48527019,Dell,ThinkPad,19-02-2018,07-02-2021,Yes,No,Yes,Good,39.78,Average
167,Feature Phone,50407606,HP,MacBook,01-01-2019,02-05-2021,No,Yes,No,Good,31.51,Good
168,Laptop,21274084,Apple,MacBook,13-04-2015,07-04-2021,No,No,No,Poor,12.9,Average
169,Feature Phone,59402138,Lenovo,MacBook,28-06-2017,14-02-2021,Yes,Yes,No,Poor,22.31,Poor
170,Laptop,64651194,HP,EliteBook,05-04-2015,08-03-2021,Yes,No,Yes,Good,7.1,Average
171,Smart Phone,49835687,Lenovo,Inspiron,21-11-2020,15-06-2021,No,No,No,Average,11.8,Poor
172,Laptop,47214897,HP,MacBook,25-10-2016,11-03-2021,Yes,Yes,Yes,Average,20.5,Poor
173,Laptop,34354131,Lenovo,EliteBook,11-05-2014,31-01-2021,No,Yes,No,Average,19.46,Good
174,Laptop,55071178,Lenovo,Vostro,16-01-2016,24-02-2021,Yes,No,No,Average,8.95,Average
175,Laptop,34238189,Dell,Inspiron,17-03-2019,29-06-2021,No,Yes,Yes,Average,20.63,Poor
176,Laptop,64505145,Lenovo,EliteBook,06-10-2016,04-07-2021,No,Yes,No,Average,2.9,Poor
177,Smart Phone,93672894,Apple,Inspiron,29-10-2014,30-01-2021,Yes,Yes,Yes,Good,23.1,Good
178,Feature Phone,97122586,Lenovo,Vostro,08-11-2020,11-01-2021,Yes,Yes,Yes,Poor,12.37,Poor
179,Laptop,80847960,Apple,Vostro,01-03-2015,05-07-2021,Yes,No,Yes,Poor,15.93,Good
180,Laptop,58859827,Lenovo,ThinkPad,25-05-2017,17-02-2021,No,Yes,Yes,Good,38.81,Good
181,Laptop,45168741,Dell,ProBook,25-09-2016,22-04-2021,No,Yes,Yes,Poor,19.88,Poor
182,Laptop,53201935,Lenovo,EliteBook,23-02-2019,27-05-2021,No,No,Yes,Poor,31.78,Good
183,Laptop,51294687,HP,ProBook,26-07-2018,14-07-2021,Yes,Yes,Yes,Poor,35.75,Good
184,Feature Phone,78096783,Lenovo,MacBook,01-05-2017,20-07-2021,No,Yes,No,Good,29.8,Average
185,Laptop,63697872,Apple,MacBook,07-04-2014,23-05-2021,No,No,No,Good,27.97,Good
186,Feature Phone,88562407,Dell,EliteBook,13-08-2017,21-06-2021,Yes,Yes,No,Good,9.2,Average
187,Laptop,84731333,Apple,EliteBook,12-04-2014,16-07-2021,Yes,Yes,Yes,Poor,36.86,Poor
188,Laptop,90144509,Lenovo,Inspiron,08-03-2015,28-02-2021,Yes,Yes,Yes,Poor,18.65,Poor
189,Laptop,50384938,Apple,Vostro,25-08-2017,11-06-2021,No,Yes,Yes,Average,24.23,Average
190,Laptop,5598502,HP,Vostro,25-01-2015,07-06-2021,Yes,Yes,No,Average,1.17,Average
191,Smart Phone,49528237,Dell,Vostro,15-09-2019,22-01-2021,Yes,Yes,Yes,Average,6.69,Average
192,Feature Phone,5032945,Apple,MacBook,14-10-2018,09-08-2021,Yes,No,Yes,Average,30.17,Good
193,Laptop,46882479,Dell,EliteBook,27-07-2016,30-06-2021,No,No,No,Average,4.56,Good
194,Smart Phone,45720123,Apple,MacBook,07-08-2019,24-02-2021,No,Yes,No,Average,29.73,Good
195,Laptop,71111513,HP,Inspiron,05-11-2017,22-06-2021,No,Yes,Yes,Poor,30.62,Poor
196,Smart Phone,91425867,HP,ProBook,31-08-2017,23-06-2021,No,Yes,No,Poor,33.25,Good
197,Laptop,45521478,Apple,MacBook,28-03-2017,15-06-2021,Yes,Yes,Yes,Average,29.5,Average
198,Smart Phone,21365560,Apple,EliteBook,12-02-2015,21-01-2021,No,No,No,Poor,27.46,Poor
199,Smart Phone,25325164,HP,EliteBook,15-02-2020,30-03-2021,No,No,Yes,Good,24.6,Average
200,Smart Phone,14823657,HP,ProBook,04-01-2014,23-02-2021,No,Yes,No,Poor,9.48,Poor
201,Feature Phone,65445198,Apple,Vostro,23-03-2020,19-02-2021,Yes,Yes,No,Average,31.83,Average
202,Feature Phone,95874869,HP,MacBook,07-10-2019,14-06-2021,No,No,Yes,Poor,28.97,Poor
203,Laptop,46193674,Apple,EliteBook,06-08-2020,22-06-2021,Yes,Yes,Yes,Poor,22.8,Average
204,Laptop,68229887,Dell,ProBook,14-09-2015,29-04-2021,Yes,No,Yes,Good,21.12,Good
205,Smart Phone,31517706,Lenovo,Vostro,09-12-2020,27-05-2021,Yes,Yes,Yes,Average,39.92,Good
206,Smart Phone,79768863,HP,EliteBook,13-10-2015,08-08-2021,Yes,No,Yes,Average,30.72,Poor
207,Feature Phone,86800341,Lenovo,EliteBook,04-05-2020,27-02-2021,Yes,Yes,Yes,Average,12.69,Average
208,Feature Phone,18789669,Apple,EliteBook,21-03-2014,06-03-2021,No,Yes,Yes,Average,6.9,Average
209,Feature Phone,34154380,Apple,Vostro,12-08-2015,22-04-2021,No,No,Yes,Good,23.57,Good
210,Smart Phone,42721123,Dell,EliteBook,26-06-2017,21-02-2021,No,Yes,Yes,Good,3.58,Poor
211,Feature Phone,9366978,HP,EliteBook,07-04-2020,26-05-2021,Yes,Yes,No,Average,23.44,Good
212,Laptop,89297971,HP,Inspiron,04-02-2018,04-01-2021,No,Yes,Yes,Average,34.34,Good
213,Smart Phone,65290262,Dell,Inspiron,25-06-2017,24-02-2021,No,No,Yes,Poor,11.61,Average
214,Laptop,84411150,Apple,Inspiron,14-08-2014,30-07-2021,Yes,No,Yes,Average,31.54,Average
215,Feature Phone,48102698,Dell,Inspiron,19-02-2014,07-05-2021,Yes,Yes,Yes,Good,7.49,Good
216,Feature Phone,41829400,Lenovo,ThinkPad,13-06-2014,03-08-2021,Yes,No,No,Poor,21.73,Poor
217,Feature Phone,66987444,Apple,ProBook,29-03-2015,04-07-2021,No,No,No,Poor,13.43,Poor
218,Feature Phone,88196961,HP,EliteBook,01-10-2020,24-06-2021,Yes,No,No,Average,33.94,Average
219,Feature Phone,59003205,Lenovo,ThinkPad,24-10-2018,22-04-2021,No,Yes,Yes,Average,11.49,Good
220,Feature Phone,86320887,Lenovo,MacBook,08-09-2020,29-01-2021,No,No,Yes,Good,16.21,Good
221,Feature Phone,56706055,Dell,Inspiron,29-12-2018,26-04-2021,Yes,Yes,No,Average,35.37,Average
222,Feature Phone,65394533,Dell,ProBook,24-10-2020,05-05-2021,No,No,No,Good,39.13,Average
223,Smart Phone,88902203,Lenovo,ThinkPad,02-07-2015,03-03-2021,No,Yes,No,Good,30.24,Good
224,Smart Phone,92059146,Dell,ThinkPad,29-01-2014,16-03-2021,No,No,Yes,Average,10.32,Poor
225,Smart Phone,28771210,Apple,Vostro,21-11-2014,25-05-2021,Yes,Yes,Yes,Average,4.48,Good
226,Feature Phone,8505330,Lenovo,Inspiron,05-04-2020,07-02-2021,No,No,No,Average,25.9,Poor
227,Feature Phone,63976977,HP,ProBook,18-02-2019,05-02-2021,Yes,No,Yes,Good,39.68,Poor
228,Feature Phone,27111888,HP,MacBook,11-03-2017,12-05-2021,No,Yes,Yes,Poor,15.15,Average
229,Smart Phone,42859208,HP,ProBook,09-02-2017,07-03-2021,Yes,Yes,Yes,Good,34.72,Good
230,Smart Phone,27282397,Dell,Inspiron,31-01-2016,17-03-2021,No,No,No,Good,16.15,Poor
231,Smart Phone,64522272,Apple,Vostro,27-05-2020,30-04-2021,Yes,Yes,Yes,Good,37.93,Average
232,Feature Phone,986809,Dell,Vostro,03-06-2014,23-02-2021,Yes,Yes,Yes,Good,8.41,Poor
233,Feature Phone,95423104,Lenovo,Vostro,19-05-2014,17-07-2021,Yes,No,No,Good,1.48,Good
234,Laptop,78422766,Apple,MacBook,28-10-2015,16-07-2021,No,No,Yes,Good,11.58,Average
235,Feature Phone,18369786,HP,Vostro,22-12-2015,06-01-2021,Yes,No,Yes,Poor,19,Poor
236,Laptop,59662747,HP,ProBook,24-04-2014,03-01-2021,No,Yes,Yes,Average,32.4,Good
237,Feature Phone,77137272,Apple,ThinkPad,10-06-2014,02-02-2021,No,Yes,No,Poor,35.3,Average
238,Smart Phone,97320616,Dell,MacBook,18-08-2020,08-08-2021,No,No,No,Average,25.64,Average
239,Laptop,47347601,HP,Inspiron,25-11-2014,11-02-2021,Yes,Yes,Yes,Average,39.27,Average
240,Feature Phone,48201858,Apple,ThinkPad,26-12-2020,19-05-2021,No,Yes,Yes,Poor,17.78,Average
241,Feature Phone,61289840,Lenovo,MacBook,10-12-2017,31-03-2021,Yes,No,No,Poor,20.58,Average
242,Laptop,33209609,Lenovo,ThinkPad,20-12-2017,10-03-2021,Yes,Yes,Yes,Poor,16.91,Poor
243,Smart Phone,7948701,Apple,Vostro,01-06-2015,01-01-2021,No,Yes,No,Good,39.88,Good
244,Feature Phone,10317396,Lenovo,ThinkPad,13-09-2018,11-01-2021,Yes,No,No,Average,4.22,Good
245,Smart Phone,85017054,HP,MacBook,22-05-2017,28-02-2021,Yes,Yes,No,Poor,16.5,Poor
