,Device_type,Device_ID,Device_brand,Device_model,Manufacture_Date,Allocation_Date,Assessment_Date,Age,device_in_use,water_damage,device_responsive,battery_health,Usage(hrs),Latency(ms)
85,Feature Phone,54290150,Samsung,215,2020-01-01,2021-02-03,2022-02-18,779 days,Yes,No,Yes,Average,8.59,Average
86,Smart Phone,07157912,Nokia,X100,2016-02-22,2021-05-22,2022-02-18,2188 days,No,Yes,Yes,Poor,3.33,Poor
87,Smart Phone,83987823,OnePlus,OnePlus 6,2020-01-04,2021-06-19,2022-02-18,776 days,No,No,No,Average,7.17,Average
88,Smart Phone,23355651,OnePlus,OnePlus 7,2016-01-20,2021-01-07,2022-02-18,2221 days,No,Yes,No,Poor,2.22,Poor
89,Laptop,62567688,Dell,Vostro,2017-01-20,2021-03-15,2022-02-18,1855 days,No,Yes,Yes,Good,19.63,Good
90,Laptop,24183437,Lenovo,ThinkPad,2020-10-10,2021-04-16,2022-02-18,496 days,No,No,No,Good,12.98,Good
91,Feature Phone,58984093,Samsung,125,2016-10-04,2021-01-23,2022-02-18,1963 days,No,Yes,No,Poor,1.12,Poor
92,Smart Phone,84025258,Blackberry,Leap,2015-05-03,2021-01-19,2022-02-18,2483 days,No,Yes,No,Poor,1.16,Poor
93,Smart Phone,00740951,Blackberry,Leap,2014-12-06,2021-06-03,2022-02-18,2631 days,No,No,Yes,Average,7.49,Average
94,Smart Phone,97029724,OnePlus,OnePlus 7T,2015-07-31,2021-04-09,2022-02-18,2394 days,No,Yes,No,Poor,3.5,Poor
95,Smart Phone,63867961,Samsung,Galaxy J7 duo,2019-12-23,2021-07-24,2022-02-18,788 days,No,No,Yes,Poor,4.31,Poor
96,Smart Phone,33022130,Oppo,A11k,2014-09-21,2021-04-19,2022-02-18,2707 days,No,Yes,No,Poor,1.28,Poor
97,Laptop,30738416,Lenovo,ThinkPad,2018-03-27,2021-04-17,2022-02-18,1424 days,Yes,Yes,Yes,Good,15.25,Good
98,Laptop,38703744,HP,EliteBook,2014-03-26,2021-04-16,2022-02-18,2886 days,No,No,No,Good,11.5,Good
99,Feature Phone,52983306,Nokia,125,2019-08-31,2021-05-09,2022-02-18,902 days,No,Yes,No,Average,9.79,Average
100,Smart Phone,61549111,Nokia,X20,2014-02-18,2021-06-29,2022-02-18,2922 days,Yes,No,Yes,Average,9.27,Average
101,Smart Phone,08128225,Samsung,Galaxy S9,2019-04-15,2021-02-07,2022-02-18,1040 days,No,Yes,No,Good,11.31,Good
102,Feature Phone,15821065,Samsung,225,2019-01-02,2021-03-19,2022-02-18,1143 days,No,Yes,Yes,Poor,1.54,Poor
103,Smart Phone,52434129,Oppo,A3s,2014-04-03,2021-07-17,2022-02-18,2878 days,No,No,No,Good,16.56,Good
104,Feature Phone,17204774,Samsung,225,2017-12-02,2021-04-21,2022-02-18,1539 days,No,Yes,No,Average,8.49,Average
105,Feature Phone,01656558,Samsung,225,2014-12-18,2021-07-27,2022-02-18,2619 days,Yes,No,Yes,Good,11.12,Good
106,Smart Phone,02698625,Samsung,Galaxy S9,2016-05-05,2021-01-17,2022-02-18,2115 days,Yes,Yes,Yes,Good,16.69,Good
107,Smart Phone,44885847,Oppo,Find 7,2015-05-31,2021-05-20,2022-02-18,2455 days,No,Yes,No,Poor,1.3,Poor
108,Smart Phone,88031330,Nokia,X100,2018-06-28,2021-05-19,2022-02-18,1331 days,No,Yes,Yes,Average,9.17,Average
109,Laptop,84992499,Apple,MacBook,2015-05-22,2021-03-15,2022-02-18,2464 days,No,Yes,No,Good,19.95,Good
110,Laptop,89203200,HP,EliteBook,2019-06-30,2021-01-30,2022-02-18,964 days,Yes,No,Yes,Good,19.6,Good
111,Feature Phone,97240662,Samsung,6300,2020-01-28,2021-08-01,2022-02-18,752 days,No,No,No,Average,8.91,Average
112,Laptop,37591359,HP,Pavilion,2019-08-15,2021-06-29,2022-02-18,918 days,No,No,No,Poor,1.24,Poor
113,Laptop,57329680,HP,Probook,2020-12-10,2021-07-09,2022-02-18,435 days,Yes,Yes,Yes,Good,13.74,Good
114,Smart Phone,41601983,Blackberry,Q5,2016-02-04,2021-03-06,2022-02-18,2206 days,No,Yes,No,Poor,4.66,Poor
115,Feature Phone,73530497,Nokia,215,2020-12-28,2021-07-16,2022-02-18,417 days,No,No,No,Good,13.34,Good
116,Smart Phone,82087357,Apple,Iphone X,2018-07-01,2021-07-22,2022-02-18,1328 days,No,Yes,No,Poor,2.54,Poor
117,Laptop,91793126,Dell,Vostro,2015-07-25,2021-05-22,2022-02-18,2400 days,No,Yes,Yes,Good,11.55,Good
118,Feature Phone,00001267,Samsung,215,2014-01-15,2021-02-23,2022-02-18,2956 days,No,No,No,Poor,2.11,Poor
119,Laptop,88287713,Apple,MacBook,2019-05-30,2021-06-02,2022-02-18,995 days,No,Yes,No,Good,12.0,Good
120,Smart Phone,23901988,OnePlus,OnePlus 8,2016-04-18,2021-07-28,2022-02-18,2132 days,No,No,No,Good,18.14,Good
121,Feature Phone,71773469,Samsung,225,2018-10-13,2021-05-19,2022-02-18,1224 days,No,Yes,No,Good,16.52,Good
122,Smart Phone,82677176,Oppo,Joy,2020-05-28,2021-03-27,2022-02-18,631 days,Yes,No,Yes,Good,14.8,Good
123,Smart Phone,65308660,Samsung,Galaxy Note 9,2015-08-12,2021-03-28,2022-02-18,2382 days,Yes,Yes,Yes,Average,7.26,Average
124,Feature Phone,11509745,Samsung,125,2016-06-27,2021-01-26,2022-02-18,2062 days,No,No,No,Good,16.8,Good
125,Smart Phone,96578506,Apple,Iphone 6,2016-04-16,2021-05-05,2022-02-18,2134 days,No,No,No,Poor,3.5,Poor
126,Feature Phone,14230127,Nokia,6300,2018-01-14,2021-02-24,2022-02-18,1496 days,Yes,No,Yes,Poor,1.9,Poor
127,Feature Phone,73019039,Nokia,225,2014-01-25,2021-03-28,2022-02-18,2946 days,No,Yes,Yes,Good,13.68,Good
128,Feature Phone,00172806,Nokia,6300,2019-03-18,2021-07-09,2022-02-18,1068 days,No,Yes,Yes,Poor,1.21,Poor
129,Smart Phone,51684969,Oppo,A11k,2015-03-01,2021-03-24,2022-02-18,2546 days,No,Yes,No,Poor,2.36,Poor
130,Laptop,73689775,Lenovo,ThinkPad,2016-08-21,2021-02-08,2022-02-18,2007 days,No,No,Yes,Average,6.44,Average
131,Smart Phone,42867074,Oppo,Find 7,2017-02-04,2021-01-24,2022-02-18,1840 days,No,No,No,Average,6.7,Average
132,Feature Phone,99382124,Nokia,6300,2016-03-01,2021-05-13,2022-02-18,2180 days,No,No,No,Average,6.58,Average
133,Laptop,06502140,Dell,Inspiron,2015-03-11,2021-01-14,2022-02-18,2536 days,No,Yes,Yes,Poor,2.94,Poor
134,Smart Phone,75221416,OnePlus,OnePlus nord,2019-09-05,2021-07-11,2022-02-18,897 days,No,No,No,Good,13.91,Good
135,Laptop,24735629,Dell,Inspiron,2018-04-10,2021-08-07,2022-02-18,1410 days,Yes,Yes,Yes,Average,6.17,Average
136,Smart Phone,73511830,Nokia,G300,2015-01-09,2021-06-11,2022-02-18,2597 days,No,Yes,No,Average,9.95,Average
137,Laptop,89675120,Lenovo,Ideapad,2019-01-05,2021-04-08,2022-02-18,1140 days,Yes,Yes,Yes,Good,12.26,Good
138,Smart Phone,57808772,Samsung,Galaxy Note 9,2020-08-27,2021-06-06,2022-02-18,540 days,No,No,No,Average,8.93,Average
139,Laptop,73772309,Apple,ProBook,2017-05-15,2021-04-04,2022-02-18,1740 days,Yes,No,Yes,Poor,2.2,Poor
140,Feature Phone,19468044,Nokia,6300,2020-04-25,2021-03-31,2022-02-18,664 days,No,Yes,No,Poor,1.75,Poor
141,Feature Phone,74802388,Nokia,6300,2016-05-14,2021-07-14,2022-02-18,2106 days,No,Yes,No,Poor,2.4,Poor
142,Feature Phone,02416175,Samsung,5310,2016-01-26,2021-07-12,2022-02-18,2215 days,No,Yes,No,Good,19.57,Good
143,Smart Phone,86294478,Apple,Iphone 6S,2017-03-02,2021-07-21,2022-02-18,1814 days,Yes,No,Yes,Good,13.52,Good
144,Laptop,91244949,Apple,MacBook,2020-08-24,2021-05-29,2022-02-18,543 days,No,No,No,Good,15.73,Good
145,Laptop,62331180,HP,Probook,2020-05-13,2021-04-27,2022-02-18,646 days,No,No,No,Poor,4.6,Poor
146,Smart Phone,64685267,Apple,Iphone 5,2014-11-13,2021-06-19,2022-02-18,2654 days,Yes,Yes,Yes,Average,7.4,Average
147,Laptop,05187225,HP,Probook,2019-04-19,2021-01-09,2022-02-18,1036 days,No,No,No,Poor,3.8,Poor
148,Smart Phone,59673002,Blackberry,Keyone,2020-09-18,2021-08-07,2022-02-18,518 days,No,Yes,No,Average,6.63,Average
149,Feature Phone,82744045,Nokia,225,2017-07-19,2021-07-03,2022-02-18,1675 days,No,Yes,Yes,Good,12.7,Good
150,Laptop,49662566,Lenovo,Ideapad,2015-10-02,2021-05-20,2022-02-18,2331 days,Yes,Yes,Yes,Poor,1.52,Poor
151,Laptop,71849966,Apple,MacBook,2015-08-11,2021-06-14,2022-02-18,2383 days,No,No,No,Poor,4.45,Poor
152,Smart Phone,23073920,Apple,Iphone 5S,2014-08-14,2021-05-19,2022-02-18,2745 days,No,Yes,No,Average,6.36,Average
153,Laptop,40488783,Dell,Vostro,2015-03-10,2021-08-05,2022-02-18,2537 days,No,No,No,Average,9.72,Average
154,Feature Phone,82267544,Nokia,6300,2014-06-06,2021-01-05,2022-02-18,2814 days,Yes,Yes,Yes,Average,6.8,Average
155,Feature Phone,05098149,Samsung,8000,2015-06-07,2021-05-27,2022-02-18,2448 days,No,No,No,Poor,2.17,Poor
156,Feature Phone,65156544,Nokia,125,2016-03-14,2021-03-23,2022-02-18,2167 days,No,No,No,Poor,1.38,Poor
157,Smart Phone,97726388,Apple,Iphone X,2014-07-12,2021-03-01,2022-02-18,2778 days,No,Yes,No,Average,6.61,Average
158,Feature Phone,06204792,Samsung,6300,2016-06-07,2021-03-16,2022-02-18,2082 days,Yes,No,Yes,Average,9.51,Average
159,Laptop,74021444,Lenovo,Ideapad,2020-05-19,2021-04-01,2022-02-18,640 days,No,Yes,No,Good,14.86,Good
160,Feature Phone,16139817,Nokia,225,2016-03-16,2021-04-08,2022-02-18,2165 days,No,No,No,Poor,4.73,Poor
161,Feature Phone,11535676,Samsung,125,2014-08-10,2021-01-03,2022-02-18,2749 days,No,Yes,Yes,Poor,3.0,Poor
162,Feature Phone,63247749,Nokia,6300,2020-08-30,2021-03-29,2022-02-18,537 days,No,Yes,Yes,Poor,1.88,Poor
163,Smart Phone,56479485,Apple,Iphone 11,2018-05-10,2021-03-19,2022-02-18,1380 days,No,Yes,Yes,Good,15.48,Good
164,Laptop,12404070,Dell,Inspiron,2019-10-21,2021-01-23,2022-02-18,851 days,Yes,Yes,Yes,Poor,3.38,Poor
165,Smart Phone,84260413,Samsung,Galaxy A8s,2020-06-21,2021-01-18,2022-02-18,607 days,No,Yes,No,Poor,1.42,Poor
166,Feature Phone,88790077,Nokia,215,2019-12-18,2021-04-13,2022-02-18,793 days,No,No,No,Poor,2.59,Poor
167,Smart Phone,02303154,Samsung,Galaxy J7 duo,2017-03-02,2021-04-01,2022-02-18,1814 days,No,Yes,No,Average,7.69,Average
168,Feature Phone,89071021,Nokia,5310,2020-01-07,2021-07-13,2022-02-18,773 days,No,Yes,Yes,Poor,1.63,Poor
169,Laptop,94143799,HP,Probook,2016-04-02,2021-01-13,2022-02-18,2148 days,Yes,No,Yes,Average,8.77,Average
170,Feature Phone,72361283,Nokia,6300,2017-03-10,2021-02-16,2022-02-18,1806 days,No,Yes,Yes,Average,6.1,Average
171,Feature Phone,28610052,Samsung,8000,2018-04-09,2021-04-21,2022-02-18,1411 days,No,No,Yes,Poor,4.97,Poor
172,Laptop,41335192,Dell,Vostro,2019-06-26,2021-04-28,2022-02-18,968 days,No,No,No,Average,8.11,Average
173,Feature Phone,04087816,Nokia,125,2018-11-22,2021-04-30,2022-02-18,1184 days,No,No,No,Poor,2.83,Poor
174,Smart Phone,52344114,Samsung,Galaxy J7 duo,2014-01-08,2021-07-31,2022-02-18,2963 days,Yes,No,Yes,Poor,4.5,Poor
175,Laptop,26236117,Apple,MacBook,2017-04-18,2021-03-25,2022-02-18,1767 days,No,No,No,Good,12.91,Good
176,Smart Phone,90852541,Samsung,Galaxy S9,2018-05-23,2021-07-30,2022-02-18,1367 days,Yes,No,Yes,Poor,3.22,Poor
177,Smart Phone,56741759,Samsung,Galaxy A8s,2020-01-10,2021-04-05,2022-02-18,770 days,No,No,No,Good,11.3,Good
178,Laptop,07417665,HP,Probook,2016-10-27,2021-03-04,2022-02-18,1940 days,No,Yes,Yes,Good,12.76,Good
179,Smart Phone,90932137,OnePlus,OnePlus 7T,2018-12-18,2021-05-15,2022-02-18,1158 days,No,Yes,Yes,Poor,3.96,Poor
180,Feature Phone,11023746,Samsung,215,2020-03-29,2021-01-20,2022-02-18,691 days,No,Yes,No,Good,15.92,Good
181,Laptop,87894752,Apple,MacBook,2014-08-27,2021-04-20,2022-02-18,2732 days,No,No,No,Average,7.5,Average
182,Feature Phone,89556122,Nokia,5310,2020-07-18,2021-07-27,2022-02-18,580 days,No,No,Yes,Average,7.38,Average
183,Smart Phone,21238017,Apple,Iphone 8,2018-05-27,2021-03-13,2022-02-18,1363 days,No,Yes,No,Good,19.4,Good
184,Feature Phone,49536379,Nokia,5310,2015-08-08,2021-02-25,2022-02-18,2386 days,No,Yes,No,Good,17.44,Good
185,Smart Phone,51649494,Apple,Iphone 11,2017-10-20,2021-03-30,2022-02-18,1582 days,No,No,No,Poor,1.57,Poor
186,Smart Phone,95081304,Nokia,X20,2014-02-11,2021-06-27,2022-02-18,2929 days,No,No,Yes,Poor,2.17,Poor
187,Laptop,72365649,Lenovo,ThinkPad,2014-05-03,2021-01-10,2022-02-18,2848 days,No,Yes,No,Average,9.46,Average
188,Smart Phone,13928919,OnePlus,OnePlus 6,2018-08-10,2021-04-26,2022-02-18,1288 days,No,No,No,Poor,1.66,Poor
189,Smart Phone,99068042,Oppo,A11k,2017-11-19,2021-04-11,2022-02-18,1552 days,Yes,No,Yes,Average,7.1,Average
190,Laptop,82288259,Dell,Inspiron,2016-10-12,2021-04-11,2022-02-18,1955 days,No,No,No,Average,8.86,Average
191,Smart Phone,30044890,OnePlus,OnePlus 6T,2015-01-24,2021-07-31,2022-02-18,2582 days,No,Yes,No,Poor,1.74,Poor
192,Smart Phone,82883164,Apple,Iphone 5S,2016-01-04,2021-04-12,2022-02-18,2237 days,No,No,Yes,Good,15.33,Good
193,Smart Phone,48787970,Samsung,Galaxy S9,2020-12-01,2021-04-10,2022-02-18,444 days,No,Yes,No,Good,17.89,Good
194,Smart Phone,30901209,Nokia,X10,2015-01-02,2021-05-01,2022-02-18,2604 days,No,Yes,No,Good,15.14,Good
195,Smart Phone,57244204,Nokia,C20 Plus,2018-02-03,2021-03-25,2022-02-18,1476 days,No,Yes,Yes,Average,6.1,Average
196,Laptop,60118479,Dell,Inspiron,2019-05-13,2021-05-03,2022-02-18,1012 days,No,No,No,Poor,1.3,Poor
197,Smart Phone,94340693,Blackberry,Keyone,2019-06-12,2021-01-10,2022-02-18,982 days,No,No,No,Good,15.7,Good
198,Smart Phone,72637609,Apple,Iphone XR,2019-02-18,2021-06-14,2022-02-18,1096 days,No,No,No,Average,9.45,Average
199,Smart Phone,84642622,OnePlus,OnePlus 6T,2016-08-12,2021-02-16,2022-02-18,2016 days,No,Yes,No,Good,11.46,Good
200,Smart Phone,71730769,Oppo,R1,2020-10-15,2021-02-16,2022-02-18,491 days,No,Yes,No,Good,16.87,Good
201,Feature Phone,24673617,Nokia,8000,2018-10-23,2021-01-02,2022-02-18,1214 days,No,Yes,Yes,Good,14.27,Good
202,Laptop,22028174,HP,EliteBook,2017-02-18,2021-06-30,2022-02-18,1826 days,Yes,No,Yes,Good,18.63,Good
203,Laptop,93942263,HP,Probook,2015-10-12,2021-02-27,2022-02-18,2321 days,No,Yes,No,Good,16.82,Good
204,Smart Phone,11749806,Apple,Iphone XS,2016-02-18,2021-03-11,2022-02-18,2192 days,No,No,No,Poor,1.43,Poor
205,Laptop,74947218,Apple,ProBook,2019-12-21,2021-02-24,2022-02-18,790 days,No,Yes,No,Good,15.57,Good
