,Device_type,Device_ID,Device_brand,Device_model,Manufacture_Date,Allocation_Date,device_in_use,water_damage,device_responsive,battery_health,Usage(hrs),Latency(ms)
56,Smart Phone,43746002,OnePlus,OnePlus 7pro,01-11-2016,06-01-2021,Yes,Yes,Yes,Good,18.76,Average
57,Feature Phone,5559817,Samsung,215,30-07-2017,20-05-2021,Yes,Yes,Yes,Average,2.4,Average
58,Smart Phone,58120996,Blackberry,Passport,26-10-2019,10-03-2021,No,Yes,No,Good,17.97,Good
59,Smart Phone,57014579,Blackberry,Keyone,06-04-2016,24-03-2021,No,Yes,No,Good,6.35,Poor
60,Smart Phone,40764856,Nokia,X10,24-12-2014,06-01-2021,Yes,Yes,Yes,Average,4.58,Average
61,Laptop,61608467,HP,Pavilion,20-08-2014,23-01-2021,No,Yes,No,Good,5.35,Average
62,Smart Phone,69184574,Samsung,Galaxy A8s,07-05-2018,08-07-2021,No,Yes,No,Average,6.39,Good
63,Laptop,86606981,Lenovo,Ideapad,03-08-2020,28-06-2021,No,No,Yes,Good,12.2,Poor
64,Laptop,67107247,HP,Probook,19-12-2017,21-03-2021,No,Yes,No,Average,8.89,Average
65,Smart Phone,97149248,Oppo,Neo,20-02-2016,07-07-2021,No,Yes,No,Poor,2.89,Poor
66,Smart Phone,17821391,Apple,Iphone SE,27-09-2017,04-02-2021,Yes,Yes,Yes,Poor,4.48,Poor
67,Smart Phone,95243689,Apple,Iphone 13,26-05-2019,20-04-2021,Yes,Yes,Yes,Poor,1.17,Good
68,Feature Phone,87539684,Nokia,215,12-09-2019,02-06-2021,No,Yes,No,Average,6.49,Poor
69,Smart Phone,6150433,Apple,Iphone 11,12-05-2016,22-06-2021,No,No,No,Poor,2.1,Poor
70,Smart Phone,49198058,Nokia,C20 Plus,21-11-2016,18-05-2021,Yes,No,Yes,Average,9.77,Average
71,Smart Phone,85294875,Blackberry,Aurora,05-09-2017,22-04-2021,No,No,No,Good,9.96,Average
72,Smart Phone,35570530,Samsung,Galaxy Note 9,11-03-2016,09-03-2021,No,Yes,No,Poor,4.18,Poor
73,Feature Phone,32024104,Samsung,8000,02-10-2015,24-01-2021,No,No,Yes,Poor,1.42,Good
74,Smart Phone,81178216,OnePlus,OnePlus nord,07-10-2020,17-01-2021,No,Yes,Yes,Poor,4.37,Poor
75,Smart Phone,48890649,Oppo,A11k,25-12-2020,07-04-2021,No,Yes,No,Good,9.67,Average
76,Laptop,73078012,Apple,ProBook,03-02-2016,16-02-2021,No,Yes,No,Poor,1.8,Average
77,Smart Phone,94013245,Nokia,X10,22-11-2019,17-05-2021,Yes,Yes,Yes,Good,15.86,Good
78,Smart Phone,57481180,Samsung,Galaxy Note 9,20-02-2014,12-05-2021,Yes,No,Yes,Good,11.51,Average
79,Feature Phone,56840889,Nokia,215,17-09-2020,26-04-2021,No,Yes,No,Poor,3.22,Good
80,Smart Phone,74550470,Oppo,R1,21-04-2014,16-03-2021,Yes,No,Yes,Good,4.18,Good
81,Laptop,79198752,Dell,Vostro,06-10-2018,09-03-2021,Yes,Yes,Yes,Good,17.95,Good
82,Laptop,81249756,Dell,Vostro,08-01-2017,03-06-2021,Yes,No,Yes,Average,2.4,Good
83,Smart Phone,47128675,OnePlus,OnePlus 6,13-09-2016,09-02-2021,No,Yes,No,Good,15.34,Poor
84,Laptop,26743851,HP,EliteBook,13-12-2015,14-01-2021,Yes,Yes,Yes,Average,6.14,Poor
85,Smart Phone,87599381,Samsung,Galaxy Note 9,15-11-2020,18-04-2021,No,Yes,Yes,Average,1.49,Good
86,Laptop,75392031,Dell,Inspiron,11-09-2017,14-03-2021,No,Yes,No,Good,5.6,Average
87,Smart Phone,21730832,Oppo,Neo,09-01-2020,14-02-2021,No,No,No,Good,6.51,Good
88,Smart Phone,1183542,Oppo,A11k,13-11-2018,10-06-2021,No,Yes,Yes,Poor,1.91,Poor
89,Laptop,43126293,Apple,ProBook,16-10-2020,06-08-2021,No,No,No,Average,2.76,Average
90,Feature Phone,96681053,Nokia,5310,29-05-2020,10-03-2021,No,Yes,No,Poor,2.12,Good
91,Laptop,45002922,HP,Pavilion,08-06-2016,11-03-2021,Yes,No,Yes,Average,2.36,Average
92,Laptop,37038427,Apple,MacBook,12-02-2017,16-07-2021,Yes,Yes,Yes,Good,16.65,Average
93,Smart Phone,9103207,Oppo,A11k,13-05-2016,10-03-2021,No,Yes,No,Good,11.85,Good
94,Smart Phone,3602973,Samsung,Galaxy A8s,09-03-2018,07-02-2021,No,Yes,No,Poor,4.24,Good
95,Feature Phone,62884877,Nokia,125,13-05-2017,26-07-2021,Yes,Yes,Yes,Poor,4.77,Average
96,Smart Phone,6760199,OnePlus,OnePlus 9R,07-12-2015,21-03-2021,No,No,No,Good,4.1,Good
97,Smart Phone,33397313,Oppo,Joy,29-07-2016,08-04-2021,No,No,Yes,Average,8.37,Average
98,Smart Phone,95688862,Oppo,A11k,14-01-2014,25-06-2021,No,Yes,Yes,Average,5.12,Poor
99,Laptop,82690212,Dell,Vostro,13-03-2014,24-04-2021,Yes,Yes,Yes,Poor,2.75,Good
100,Smart Phone,82450410,Samsung,Galaxy Note 9,22-03-2015,11-03-2021,No,Yes,No,Poor,2.11,Average
101,Smart Phone,66997771,Blackberry,Curve,23-02-2020,19-07-2021,No,Yes,No,Poor,4.7,Good
102,Feature Phone,45720185,Samsung,225,24-01-2019,29-01-2021,No,Yes,No,Poor,4.69,Good
103,Feature Phone,70688818,Samsung,6300,24-05-2019,16-03-2021,No,Yes,No,Average,3.49,Average
104,Smart Phone,83476211,Apple,Iphone 5,13-11-2018,29-04-2021,Yes,No,Yes,Good,9.16,Poor
105,Feature Phone,57315904,Nokia,225,27-03-2018,11-06-2021,No,Yes,No,Average,4,Poor
106,Smart Phone,66438984,Apple,Iphone XR,13-07-2020,13-02-2021,Yes,No,Yes,Poor,1.7,Good
107,Laptop,29899425,Apple,MacBook,06-03-2020,28-01-2021,No,Yes,Yes,Average,5.51,Poor
108,Laptop,87856712,Apple,MacBook,31-10-2016,07-02-2021,No,Yes,No,Average,9.61,Good
109,Smart Phone,3717202,OnePlus,OnePlus 7pro,27-07-2014,30-05-2021,No,Yes,Yes,Average,7.23,Average
110,Feature Phone,57599038,Nokia,5310,17-06-2015,05-04-2021,Yes,No,Yes,Poor,4.55,Average
111,Laptop,35013624,Lenovo,Ideapad,14-04-2016,01-01-2021,No,No,No,Good,15.54,Average
112,Smart Phone,95688107,Nokia,X10,16-10-2014,09-05-2021,Yes,No,Yes,Poor,3.19,Good
113,Laptop,4546948,Apple,MacBook,09-05-2015,22-07-2021,Yes,Yes,Yes,Poor,3.45,Poor
114,Laptop,99477554,Apple,MacBook,10-07-2019,16-01-2021,No,Yes,No,Good,1.8,Poor
115,Laptop,55134392,HP,EliteBook,31-01-2015,27-05-2021,No,Yes,Yes,Good,11.48,Poor
116,Laptop,25651423,Lenovo,ThinkPad,07-10-2018,26-06-2021,No,Yes,No,Good,1.23,Good
117,Feature Phone,61285392,Nokia,225,20-03-2017,29-05-2021,Yes,Yes,Yes,Poor,4.22,Good
118,Laptop,82345471,Dell,Inspiron,10-12-2014,16-04-2021,No,No,No,Average,2.82,Poor
119,Smart Phone,11322078,Samsung,Galaxy J7 duo,22-08-2020,17-02-2021,No,Yes,Yes,Good,3.35,Average
120,Laptop,55123129,HP,EliteBook,26-11-2019,18-06-2021,No,Yes,No,Average,7.86,Average
121,Laptop,73678250,HP,Pavilion,09-04-2020,23-05-2021,No,No,No,Average,8.45,Average
122,Smart Phone,31747387,Nokia,X20,22-10-2016,19-05-2021,No,No,No,Good,5.1,Good
123,Smart Phone,2549170,Apple,Iphone 6,23-01-2014,28-05-2021,No,No,No,Poor,3.23,Good
124,Feature Phone,23066762,Nokia,215,26-01-2020,30-05-2021,Yes,No,Yes,Poor,4.3,Average
125,Laptop,92367630,Lenovo,ThinkPad,10-03-2020,16-05-2021,Yes,No,Yes,Good,15.56,Poor
126,Feature Phone,86849357,Samsung,215,11-02-2014,18-03-2021,No,Yes,No,Poor,2.3,Average
127,Smart Phone,71155586,Nokia,T20,30-09-2016,06-06-2021,No,No,No,Average,2.38,Poor
128,Feature Phone,82419981,Nokia,125,17-01-2016,06-06-2021,No,No,No,Poor,2.4,Good
129,Laptop,47989597,Lenovo,Ideapad,18-11-2016,29-06-2021,No,No,No,Average,3.42,Average
130,Feature Phone,5692774,Nokia,125,26-02-2020,11-07-2021,Yes,Yes,Yes,Poor,4.88,Good
131,Laptop,9580671,Dell,Inspiron,18-06-2018,12-01-2021,No,No,No,Poor,1.83,Average
132,Smart Phone,45721755,OnePlus,OnePlus 6,29-08-2020,23-01-2021,No,Yes,No,Good,5.78,Good
133,Laptop,4762058,HP,Pavilion,09-03-2017,05-08-2021,No,Yes,No,Average,7.94,Good
134,Smart Phone,59201007,Apple,Iphone 8,30-03-2016,28-01-2021,No,Yes,No,Poor,1.62,Poor
135,Feature Phone,91190871,Nokia,6300,28-06-2017,01-02-2021,No,No,No,Good,3.87,Poor
136,Smart Phone,61438378,OnePlus,OnePlus 6T,04-02-2014,21-06-2021,No,No,No,Good,2.47,Good
137,Feature Phone,90561566,Samsung,215,28-07-2020,14-07-2021,No,Yes,No,Good,15.95,Poor
138,Feature Phone,2712529,Nokia,215,10-03-2016,23-01-2021,Yes,Yes,Yes,Average,2.84,Average
139,Laptop,7643897,Lenovo,Ideapad,24-01-2014,02-04-2021,Yes,No,Yes,Average,6.18,Good
140,Feature Phone,86937757,Nokia,5310,16-01-2017,18-02-2021,No,No,No,Average,5.74,Poor
141,Laptop,62099066,HP,Probook,09-07-2019,14-02-2021,Yes,No,Yes,Poor,1,Poor
142,Laptop,19049793,HP,Pavilion,06-08-2014,04-03-2021,Yes,No,Yes,Poor,1.22,Average
143,Feature Phone,45181054,Nokia,215,16-12-2014,04-08-2021,No,No,No,Good,12.97,Good
144,Feature Phone,66067023,Nokia,5310,24-04-2020,29-07-2021,Yes,Yes,Yes,Good,7.17,Poor
145,Laptop,4912835,Dell,Inspiron,01-02-2019,05-06-2021,Yes,No,Yes,Good,19.97,Average
146,Feature Phone,42038290,Samsung,5310,23-04-2018,26-06-2021,No,Yes,No,Poor,1.4,Poor
147,Feature Phone,9070318,Samsung,5310,13-07-2016,21-03-2021,Yes,Yes,Yes,Average,2.16,Good
148,Feature Phone,6989026,Samsung,225,04-08-2019,23-07-2021,No,No,No,Poor,3.54,Good
149,Feature Phone,77614940,Nokia,6300,29-08-2015,15-02-2021,No,No,No,Average,2.2,Average
150,Laptop,40869650,Apple,ProBook,30-01-2017,19-07-2021,No,No,No,Average,8.47,Average
151,Laptop,82666057,HP,Pavilion,13-01-2018,08-02-2021,Yes,Yes,Yes,Good,17.81,Good
152,Laptop,40562124,Lenovo,Ideapad,18-05-2014,02-03-2021,Yes,No,Yes,Poor,1.37,Poor
153,Feature Phone,10100561,Nokia,125,27-11-2017,26-05-2021,No,Yes,Yes,Average,1.72,Poor
154,Smart Phone,95188591,Nokia,XR20,30-12-2019,16-04-2021,No,No,No,Average,4.19,Average
155,Smart Phone,60656063,Apple,Iphone SE,17-08-2020,11-02-2021,Yes,Yes,Yes,Poor,1.81,Poor
156,Smart Phone,22596147,Blackberry,Q5,20-06-2020,12-01-2021,No,Yes,Yes,Average,7.85,Good
157,Smart Phone,46069757,Apple,Iphone SE,28-08-2017,25-06-2021,No,No,No,Average,5.47,Poor
158,Laptop,91861832,HP,EliteBook,16-06-2018,09-02-2021,No,No,No,Good,8.52,Good
159,Smart Phone,24972260,Oppo,N1,23-02-2019,03-03-2021,Yes,No,Yes,Poor,3.12,Good
160,Laptop,23274600,Apple,ProBook,09-06-2020,07-08-2021,No,No,No,Average,7.22,Average
161,Smart Phone,1319361,Nokia,X100,25-09-2016,28-02-2021,No,No,No,Poor,2.99,Good
162,Laptop,12490967,Lenovo,ThinkPad,14-05-2016,11-03-2021,No,Yes,No,Average,7.3,Good
163,Feature Phone,75051549,Samsung,125,02-03-2014,23-02-2021,No,No,No,Good,19.66,Poor
164,Laptop,46718648,Lenovo,ThinkPad,31-08-2019,30-04-2021,No,Yes,Yes,Average,8.69,Good
165,Feature Phone,92760158,Samsung,5310,12-09-2014,07-01-2021,Yes,Yes,Yes,Average,5.18,Poor
166,Smart Phone,65212714,Nokia,X20,22-08-2018,15-04-2021,Yes,No,Yes,Poor,2.31,Good
167,Smart Phone,98811243,Blackberry,Q10,20-12-2015,19-01-2021,No,No,Yes,Poor,4.97,Poor
168,Feature Phone,83212222,Nokia,5310,31-01-2015,04-07-2021,Yes,Yes,Yes,Average,5.72,Average
169,Smart Phone,79781619,Nokia,G50,09-05-2016,12-07-2021,No,Yes,No,Average,1.39,Good
170,Smart Phone,59745532,OnePlus,OnePlus 7T,04-03-2018,02-07-2021,No,Yes,No,Good,7.32,Good
171,Laptop,88090344,Dell,Vostro,25-01-2019,06-05-2021,Yes,Yes,Yes,Average,6.71,Average
172,Laptop,67967117,Dell,Vostro,30-12-2018,19-06-2021,No,Yes,Yes,Poor,1.8,Average
173,Laptop,38920967,Apple,ProBook,23-08-2016,13-04-2021,No,No,No,Poor,3.2,Good
174,Feature Phone,97115847,Samsung,8000,10-11-2019,07-07-2021,No,Yes,No,Average,1.57,Good
175,Laptop,31279550,Apple,MacBook,15-07-2016,26-01-2021,No,No,No,Poor,3.11,Good
176,Feature Phone,96864005,Samsung,6300,19-11-2018,15-07-2021,No,No,No,Good,11.38,Poor
177,Feature Phone,71589824,Nokia,6300,06-06-2015,27-06-2021,No,No,Yes,Average,4.7,Good
178,Laptop,73363439,Dell,Inspiron,06-03-2016,16-02-2021,Yes,Yes,Yes,Poor,1.15,Good
179,Laptop,50199051,Lenovo,Ideapad,16-08-2015,07-05-2021,No,Yes,No,Good,5.15,Poor
180,Feature Phone,28747796,Nokia,6300,10-08-2016,26-06-2021,No,No,No,Poor,3.67,Poor
181,Feature Phone,94732115,Samsung,5310,25-05-2019,07-04-2021,No,Yes,No,Average,2.61,Poor
182,Feature Phone,39972316,Samsung,125,23-03-2016,23-04-2021,Yes,Yes,Yes,Poor,4.11,Good
183,Smart Phone,44952280,Nokia,XR20,15-10-2018,06-01-2021,No,No,No,Good,19.39,Good
184,Laptop,18314694,Apple,ProBook,30-11-2015,28-07-2021,No,No,Yes,Average,6.8,Good
185,Laptop,61664951,Dell,Vostro,23-09-2017,26-06-2021,No,Yes,Yes,Poor,2.12,Average
186,Smart Phone,56542165,Apple,Iphone 6S,10-10-2017,04-07-2021,No,No,No,Good,17.95,Average
187,Laptop,80667179,Dell,Vostro,22-02-2018,10-02-2021,No,Yes,No,Good,17.27,Poor
188,Feature Phone,43160556,Nokia,8000,12-06-2018,19-03-2021,No,Yes,Yes,Poor,2.75,Good
189,Feature Phone,60982094,Samsung,215,31-01-2020,03-05-2021,Yes,No,Yes,Poor,1.9,Good
190,Laptop,12030859,Apple,MacBook,05-12-2016,17-01-2021,No,Yes,No,Poor,1.91,Average
191,Smart Phone,75809331,Oppo,R1,24-06-2017,29-01-2021,No,No,Yes,Good,9.26,Good
192,Smart Phone,66851738,Blackberry,Q10,06-08-2014,30-03-2021,No,No,No,Average,6.29,Poor
193,Smart Phone,38610219,Oppo,A11k,14-12-2015,31-05-2021,No,Yes,No,Good,2.2,Poor
194,Smart Phone,29810796,Oppo,Find 7,20-09-2016,29-06-2021,No,Yes,No,Good,3.56,Good
195,Laptop,42289319,Apple,MacBook,28-06-2016,13-04-2021,Yes,Yes,Yes,Poor,2.43,Good
196,Feature Phone,34531594,Nokia,215,04-01-2019,09-07-2021,No,No,Yes,Good,11.28,Poor
197,Feature Phone,24033428,Samsung,6300,19-06-2016,06-08-2021,No,No,No,Average,1,Poor
198,Laptop,2371412,Lenovo,ThinkPad,31-01-2014,14-05-2021,Yes,Yes,Yes,Poor,1.4,Poor
199,Laptop,96123829,HP,Pavilion,24-10-2019,23-05-2021,No,No,Yes,Poor,4.64,Poor
200,Laptop,79062527,Apple,ProBook,05-12-2020,12-04-2021,Yes,No,Yes,Average,8.63,Good
201,Laptop,14535321,Lenovo,Ideapad,14-07-2020,20-03-2021,No,No,Yes,Good,15.54,Good
202,Feature Phone,7860232,Nokia,6300,04-11-2016,28-04-2021,No,No,No,Poor,4.13,Average
203,Laptop,89522011,Dell,Inspiron,14-07-2019,09-06-2021,No,No,Yes,Average,3.5,Good
204,Laptop,97382188,Lenovo,Ideapad,30-03-2020,19-06-2021,No,Yes,Yes,Average,1.44,Good
205,Feature Phone,56028966,Samsung,215,14-01-2020,01-08-2021,Yes,Yes,Yes,Poor,3.47,Average
206,Laptop,4509356,HP,Probook,09-06-2016,24-03-2021,Yes,Yes,Yes,Poor,2.1,Average
207,Laptop,67413812,Lenovo,ThinkPad,01-01-2018,10-02-2021,Yes,Yes,Yes,Poor,2.3,Poor
208,Laptop,95437804,HP,Pavilion,12-02-2015,16-02-2021,Yes,No,Yes,Average,8.59,Average
209,Smart Phone,41914762,Samsung,Galaxy S9,22-06-2019,02-06-2021,No,Yes,Yes,Average,9.4,Average
210,Laptop,58441428,Apple,MacBook,06-10-2016,11-06-2021,No,No,No,Good,5.67,Good
211,Laptop,36525331,HP,Pavilion,31-12-2014,11-06-2021,No,Yes,Yes,Good,10.9,Poor
212,Smart Phone,89750865,Nokia,X100,13-12-2019,09-04-2021,No,Yes,No,Average,4.83,Average
213,Feature Phone,76619397,Nokia,125,28-05-2015,19-01-2021,No,No,No,Average,3.57,Average
214,Smart Phone,17323864,Oppo,Joy,17-07-2014,12-02-2021,No,No,No,Average,2.2,Poor
215,Smart Phone,31250320,Samsung,Galaxy A6,06-06-2019,11-07-2021,No,Yes,No,Average,7.93,Average
216,Feature Phone,71107288,Nokia,8000,27-02-2020,24-04-2021,Yes,Yes,Yes,Good,13.2,Good
217,Laptop,52843112,Lenovo,ThinkPad,25-03-2017,08-04-2021,Yes,No,Yes,Good,19.34,Poor
218,Smart Phone,81645473,Samsung,Galaxy A8s,21-01-2016,28-07-2021,No,No,No,Poor,3.3,Average
219,Smart Phone,49976427,Apple,Iphone 6,25-12-2015,26-07-2021,Yes,No,Yes,Poor,3.24,Good
220,Smart Phone,70620610,Oppo,R1,20-04-2014,06-03-2021,No,Yes,No,Average,7.85,Average
221,Smart Phone,32260540,Oppo,Joy,18-10-2014,10-06-2021,No,No,No,Good,1.8,Good
222,Laptop,47117563,Apple,ProBook,11-05-2015,15-06-2021,Yes,No,Yes,Average,9.43,Good
223,Smart Phone,11425618,Apple,Iphone 7,24-06-2020,16-02-2021,No,No,Yes,Poor,1.45,Poor
224,Smart Phone,74643301,OnePlus,OnePlus 7T,07-10-2018,09-05-2021,Yes,No,Yes,Poor,3.16,Poor
225,Smart Phone,82377137,Samsung,Galaxy A6,18-03-2018,14-05-2021,No,No,Yes,Poor,1.33,Poor
226,Laptop,81177271,Dell,Vostro,07-03-2014,22-04-2021,Yes,No,Yes,Poor,2.99,Good
227,Laptop,69480119,Dell,Vostro,17-07-2016,03-05-2021,No,No,No,Average,6.9,Good
228,Laptop,26653389,Apple,MacBook,31-03-2020,23-02-2021,Yes,Yes,Yes,Average,6.5,Average
229,Feature Phone,55283182,Nokia,6300,03-12-2018,08-08-2021,No,No,No,Average,6,Average
230,Laptop,9032262,Apple,MacBook,26-03-2017,08-06-2021,No,No,No,Average,1.9,Average
231,Smart Phone,85256897,Apple,Iphone SE,05-03-2018,14-03-2021,No,Yes,Yes,Poor,1.33,Good
232,Feature Phone,96663578,Samsung,225,28-11-2016,02-02-2021,Yes,Yes,Yes,Average,3.31,Average
233,Laptop,92090378,Dell,Vostro,20-12-2018,29-06-2021,No,No,Yes,Average,2.38,Poor
234,Smart Phone,33307213,Oppo,A11k,16-08-2017,11-02-2021,Yes,Yes,Yes,Poor,3.5,Poor
235,Laptop,42861102,HP,Pavilion,22-05-2019,11-05-2021,No,Yes,Yes,Good,12.72,Good
236,Smart Phone,55902267,Blackberry,Aurora,04-09-2018,05-03-2021,No,No,No,Good,4.16,Average
237,Smart Phone,58255612,Nokia,X20,11-07-2020,20-05-2021,No,Yes,No,Poor,1.69,Average
238,Laptop,90568152,Dell,Vostro,26-11-2014,17-07-2021,No,No,No,Good,9.69,Good
239,Smart Phone,31075770,OnePlus,OnePlus 7,27-01-2017,13-01-2021,No,No,Yes,Poor,2.36,Poor
240,Smart Phone,4260264,Nokia,XR20,22-03-2018,12-07-2021,No,No,Yes,Average,2.35,Good
241,Laptop,40224527,Apple,MacBook,04-10-2016,04-06-2021,Yes,No,Yes,Average,2.6,Good
242,Feature Phone,41234877,Samsung,125,16-08-2020,29-06-2021,Yes,No,Yes,Poor,1.64,Poor
243,Feature Phone,86990431,Nokia,5310,13-04-2014,10-06-2021,No,No,Yes,Good,2.33,Good
244,Feature Phone,16197107,Nokia,225,11-11-2014,15-07-2021,No,No,No,Average,3.1,Poor
245,Laptop,95900711,Lenovo,ThinkPad,29-01-2018,19-04-2021,No,No,No,Good,19.97,Average
246,Smart Phone,65731260,OnePlus,OnePlus 6,15-06-2014,19-02-2021,No,Yes,Yes,Poor,4.61,Average
247,Laptop,2203447,Lenovo,Ideapad,09-02-2020,21-07-2021,No,No,Yes,Good,12.13,Poor
248,Smart Phone,47937680,Nokia,T20,26-07-2016,20-04-2021,No,Yes,No,Good,2.55,Average
249,Smart Phone,10033197,Nokia,C20 Plus,17-08-2018,09-05-2021,No,No,No,Good,5.96,Poor
